"numberOfAttributes","cbo","lcom","numberOfMethods","fanIn","directory","k"
7,7,3,3,2,"lucene","single-version-ck-oo.csv"
0,8,3,3,7,"lucene","single-version-ck-oo.csv"
10,9,36,9,0,"lucene","single-version-ck-oo.csv"
12,2,28,8,0,"lucene","single-version-ck-oo.csv"
5,6,36,9,1,"lucene","single-version-ck-oo.csv"
0,3,1,2,3,"lucene","single-version-ck-oo.csv"
1,8,10,5,1,"lucene","single-version-ck-oo.csv"
6,6,10,5,1,"lucene","single-version-ck-oo.csv"
11,17,120,16,3,"lucene","single-version-ck-oo.csv"
0,3,0,1,0,"lucene","single-version-ck-oo.csv"
3,2,1,2,2,"lucene","single-version-ck-oo.csv"
0,4,1,2,1,"lucene","single-version-ck-oo.csv"
1,14,6,4,2,"lucene","single-version-ck-oo.csv"
1,5,10,5,2,"lucene","single-version-ck-oo.csv"
11,1,66,12,0,"lucene","single-version-ck-oo.csv"
2,4,15,6,2,"lucene","single-version-ck-oo.csv"
0,18,1,2,18,"lucene","single-version-ck-oo.csv"
2,4,15,6,4,"lucene","single-version-ck-oo.csv"
2,11,861,42,6,"lucene","single-version-ck-oo.csv"
7,11,10,5,0,"lucene","single-version-ck-oo.csv"
2,4,15,6,2,"lucene","single-version-ck-oo.csv"
0,3,3,3,2,"lucene","single-version-ck-oo.csv"
0,16,1,2,0,"lucene","single-version-ck-oo.csv"
1,0,0,0,0,"lucene","single-version-ck-oo.csv"
2,5,6,4,0,"lucene","single-version-ck-oo.csv"
0,5,1,2,0,"lucene","single-version-ck-oo.csv"
0,4,1,2,1,"lucene","single-version-ck-oo.csv"
8,7,21,7,2,"lucene","single-version-ck-oo.csv"
14,6,45,10,2,"lucene","single-version-ck-oo.csv"
6,3,1,2,1,"lucene","single-version-ck-oo.csv"
0,1,1,2,1,"lucene","single-version-ck-oo.csv"
2,6,10,5,1,"lucene","single-version-ck-oo.csv"
9,10,78,13,1,"lucene","single-version-ck-oo.csv"
3,5,45,10,0,"lucene","single-version-ck-oo.csv"
4,7,6,4,2,"lucene","single-version-ck-oo.csv"
6,10,66,12,7,"lucene","single-version-ck-oo.csv"
9,2,3,3,1,"lucene","single-version-ck-oo.csv"
26,3,6,4,1,"lucene","single-version-ck-oo.csv"
1,3,10,5,0,"lucene","single-version-ck-oo.csv"
1,5,0,1,1,"lucene","single-version-ck-oo.csv"
5,5,6,4,2,"lucene","single-version-ck-oo.csv"
14,9,10,5,1,"lucene","single-version-ck-oo.csv"
7,12,45,10,4,"lucene","single-version-ck-oo.csv"
19,22,435,30,13,"lucene","single-version-ck-oo.csv"
0,2,1,2,1,"lucene","single-version-ck-oo.csv"
6,8,55,11,1,"lucene","single-version-ck-oo.csv"
0,8,0,1,0,"lucene","single-version-ck-oo.csv"
4,0,0,0,0,"lucene","single-version-ck-oo.csv"
0,12,120,16,2,"lucene","single-version-ck-oo.csv"
2,5,6,4,1,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
7,7,55,11,2,"lucene","single-version-ck-oo.csv"
4,10,3,3,0,"lucene","single-version-ck-oo.csv"
2,5,10,5,1,"lucene","single-version-ck-oo.csv"
11,17,91,14,5,"lucene","single-version-ck-oo.csv"
19,1,153,18,0,"lucene","single-version-ck-oo.csv"
19,12,78,13,0,"lucene","single-version-ck-oo.csv"
13,2,28,8,1,"lucene","single-version-ck-oo.csv"
6,3,1,2,1,"lucene","single-version-ck-oo.csv"
0,3,1,2,2,"lucene","single-version-ck-oo.csv"
1,9,66,12,3,"lucene","single-version-ck-oo.csv"
0,4,3,3,1,"lucene","single-version-ck-oo.csv"
2,6,1,2,1,"lucene","single-version-ck-oo.csv"
5,8,91,14,4,"lucene","single-version-ck-oo.csv"
3,26,66,12,19,"lucene","single-version-ck-oo.csv"
2,10,55,11,0,"lucene","single-version-ck-oo.csv"
2,5,1,2,1,"lucene","single-version-ck-oo.csv"
0,5,0,1,5,"lucene","single-version-ck-oo.csv"
2,8,36,9,1,"lucene","single-version-ck-oo.csv"
1,3,6,4,1,"lucene","single-version-ck-oo.csv"
2,6,3,3,2,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
11,48,153,18,37,"lucene","single-version-ck-oo.csv"
7,6,36,9,1,"lucene","single-version-ck-oo.csv"
10,6,10,5,4,"lucene","single-version-ck-oo.csv"
4,5,45,10,1,"lucene","single-version-ck-oo.csv"
2,2,15,6,1,"lucene","single-version-ck-oo.csv"
3,3,15,6,0,"lucene","single-version-ck-oo.csv"
1,3,6,4,1,"lucene","single-version-ck-oo.csv"
22,15,136,17,6,"lucene","single-version-ck-oo.csv"
5,5,28,8,1,"lucene","single-version-ck-oo.csv"
0,2,1,2,2,"lucene","single-version-ck-oo.csv"
4,21,105,15,12,"lucene","single-version-ck-oo.csv"
2,11,3,3,1,"lucene","single-version-ck-oo.csv"
0,3,3,3,0,"lucene","single-version-ck-oo.csv"
1,1,55,11,1,"lucene","single-version-ck-oo.csv"
2,4,10,5,4,"lucene","single-version-ck-oo.csv"
0,2,1,2,1,"lucene","single-version-ck-oo.csv"
0,2,1,2,2,"lucene","single-version-ck-oo.csv"
0,18,0,1,17,"lucene","single-version-ck-oo.csv"
12,4,3,3,1,"lucene","single-version-ck-oo.csv"
9,9,45,10,9,"lucene","single-version-ck-oo.csv"
0,74,3,3,71,"lucene","single-version-ck-oo.csv"
1,7,21,7,1,"lucene","single-version-ck-oo.csv"
1,6,6,4,3,"lucene","single-version-ck-oo.csv"
4,6,66,12,1,"lucene","single-version-ck-oo.csv"
1,5,3,3,1,"lucene","single-version-ck-oo.csv"
18,4,1275,51,1,"lucene","single-version-ck-oo.csv"
0,2,0,1,1,"lucene","single-version-ck-oo.csv"
3,2,3,3,1,"lucene","single-version-ck-oo.csv"
8,10,105,15,1,"lucene","single-version-ck-oo.csv"
0,0,1,2,0,"lucene","single-version-ck-oo.csv"
2,5,21,7,0,"lucene","single-version-ck-oo.csv"
4,7,10,5,7,"lucene","single-version-ck-oo.csv"
0,0,3,3,0,"lucene","single-version-ck-oo.csv"
10,17,190,20,4,"lucene","single-version-ck-oo.csv"
1,4,10,5,0,"lucene","single-version-ck-oo.csv"
4,6,28,8,2,"lucene","single-version-ck-oo.csv"
8,7,55,11,5,"lucene","single-version-ck-oo.csv"
2,2,3,3,0,"lucene","single-version-ck-oo.csv"
2,7,10,5,6,"lucene","single-version-ck-oo.csv"
7,11,78,13,2,"lucene","single-version-ck-oo.csv"
4,8,3,3,1,"lucene","single-version-ck-oo.csv"
59,91,7875,126,66,"lucene","single-version-ck-oo.csv"
1,5,3,3,0,"lucene","single-version-ck-oo.csv"
0,0,1,2,0,"lucene","single-version-ck-oo.csv"
2,4,3,3,2,"lucene","single-version-ck-oo.csv"
5,27,55,11,1,"lucene","single-version-ck-oo.csv"
0,4,10,5,2,"lucene","single-version-ck-oo.csv"
5,5,3,3,2,"lucene","single-version-ck-oo.csv"
17,10,136,17,1,"lucene","single-version-ck-oo.csv"
0,2,0,1,1,"lucene","single-version-ck-oo.csv"
3,9,36,9,1,"lucene","single-version-ck-oo.csv"
0,3,1,2,1,"lucene","single-version-ck-oo.csv"
0,4,1,2,1,"lucene","single-version-ck-oo.csv"
4,11,15,6,0,"lucene","single-version-ck-oo.csv"
14,1,66,12,0,"lucene","single-version-ck-oo.csv"
3,7,6,4,1,"lucene","single-version-ck-oo.csv"
7,1,15,6,0,"lucene","single-version-ck-oo.csv"
10,16,66,12,1,"lucene","single-version-ck-oo.csv"
19,29,528,33,19,"lucene","single-version-ck-oo.csv"
2,4,6,4,2,"lucene","single-version-ck-oo.csv"
0,3,1,2,0,"lucene","single-version-ck-oo.csv"
16,8,55,11,3,"lucene","single-version-ck-oo.csv"
2,9,28,8,4,"lucene","single-version-ck-oo.csv"
0,2,0,1,1,"lucene","single-version-ck-oo.csv"
6,3,91,14,1,"lucene","single-version-ck-oo.csv"
2,24,45,10,13,"lucene","single-version-ck-oo.csv"
10,27,153,18,3,"lucene","single-version-ck-oo.csv"
2,18,45,10,16,"lucene","single-version-ck-oo.csv"
0,2,3,3,0,"lucene","single-version-ck-oo.csv"
1,9,3,3,8,"lucene","single-version-ck-oo.csv"
6,4,45,10,4,"lucene","single-version-ck-oo.csv"
5,9,10,5,1,"lucene","single-version-ck-oo.csv"
7,16,105,15,3,"lucene","single-version-ck-oo.csv"
6,5,36,9,2,"lucene","single-version-ck-oo.csv"
1,15,6,4,1,"lucene","single-version-ck-oo.csv"
0,2,1,2,0,"lucene","single-version-ck-oo.csv"
8,11,45,10,4,"lucene","single-version-ck-oo.csv"
4,7,21,7,6,"lucene","single-version-ck-oo.csv"
3,5,6,4,3,"lucene","single-version-ck-oo.csv"
3,14,55,11,9,"lucene","single-version-ck-oo.csv"
1,3,36,9,0,"lucene","single-version-ck-oo.csv"
9,6,153,18,1,"lucene","single-version-ck-oo.csv"
32,6,3,3,1,"lucene","single-version-ck-oo.csv"
0,9,1,2,8,"lucene","single-version-ck-oo.csv"
0,8,6,4,0,"lucene","single-version-ck-oo.csv"
14,1,120,16,0,"lucene","single-version-ck-oo.csv"
0,3,3,3,1,"lucene","single-version-ck-oo.csv"
1,13,10,5,6,"lucene","single-version-ck-oo.csv"
6,12,36,9,6,"lucene","single-version-ck-oo.csv"
8,1,3,3,1,"lucene","single-version-ck-oo.csv"
1,1,0,1,1,"lucene","single-version-ck-oo.csv"
4,4,6,4,1,"lucene","single-version-ck-oo.csv"
7,4,3,3,2,"lucene","single-version-ck-oo.csv"
0,5,1,2,3,"lucene","single-version-ck-oo.csv"
2,5,6,4,1,"lucene","single-version-ck-oo.csv"
1,38,55,11,38,"lucene","single-version-ck-oo.csv"
0,2,6,4,2,"lucene","single-version-ck-oo.csv"
2,3,1,2,1,"lucene","single-version-ck-oo.csv"
0,2,1,2,1,"lucene","single-version-ck-oo.csv"
0,1,1,2,1,"lucene","single-version-ck-oo.csv"
1,4,15,6,1,"lucene","single-version-ck-oo.csv"
0,29,91,14,20,"lucene","single-version-ck-oo.csv"
1,1,21,7,1,"lucene","single-version-ck-oo.csv"
3,4,3,3,0,"lucene","single-version-ck-oo.csv"
1,6,6,4,4,"lucene","single-version-ck-oo.csv"
0,6,3,3,0,"lucene","single-version-ck-oo.csv"
0,7,3,3,0,"lucene","single-version-ck-oo.csv"
11,6,15,6,4,"lucene","single-version-ck-oo.csv"
0,5,3,3,2,"lucene","single-version-ck-oo.csv"
2,4,15,6,4,"lucene","single-version-ck-oo.csv"
10,8,45,10,2,"lucene","single-version-ck-oo.csv"
1,5,3,3,0,"lucene","single-version-ck-oo.csv"
0,6,3,3,4,"lucene","single-version-ck-oo.csv"
4,9,1,2,1,"lucene","single-version-ck-oo.csv"
5,4,21,7,3,"lucene","single-version-ck-oo.csv"
10,14,91,14,9,"lucene","single-version-ck-oo.csv"
2,1,0,1,1,"lucene","single-version-ck-oo.csv"
3,4,21,7,1,"lucene","single-version-ck-oo.csv"
8,2,3,3,2,"lucene","single-version-ck-oo.csv"
19,10,21,7,2,"lucene","single-version-ck-oo.csv"
2,4,10,5,1,"lucene","single-version-ck-oo.csv"
0,8,3,3,2,"lucene","single-version-ck-oo.csv"
0,4,3,3,4,"lucene","single-version-ck-oo.csv"
0,3,3,3,0,"lucene","single-version-ck-oo.csv"
19,3,496,32,1,"lucene","single-version-ck-oo.csv"
3,2,0,1,1,"lucene","single-version-ck-oo.csv"
2,4,10,5,4,"lucene","single-version-ck-oo.csv"
42,73,2628,73,46,"lucene","single-version-ck-oo.csv"
7,12,78,13,9,"lucene","single-version-ck-oo.csv"
8,5,28,8,3,"lucene","single-version-ck-oo.csv"
7,5,10,5,3,"lucene","single-version-ck-oo.csv"
1,6,15,6,4,"lucene","single-version-ck-oo.csv"
5,3,171,19,1,"lucene","single-version-ck-oo.csv"
4,6,10,5,2,"lucene","single-version-ck-oo.csv"
12,8,120,16,3,"lucene","single-version-ck-oo.csv"
5,4,36,9,2,"lucene","single-version-ck-oo.csv"
3,1,3,3,1,"lucene","single-version-ck-oo.csv"
5,6,28,8,1,"lucene","single-version-ck-oo.csv"
2,3,28,8,0,"lucene","single-version-ck-oo.csv"
