"numberOfPrivateMethods","fanOut","cbo","numberOfLinesOfCode","rfc","directory","k"
0,0,6,12,3,"mylyn","single-version-ck-oo.csv"
0,0,5,24,7,"mylyn","single-version-ck-oo.csv"
2,21,26,350,169,"mylyn","single-version-ck-oo.csv"
0,8,9,74,26,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,2,23,10,"mylyn","single-version-ck-oo.csv"
10,31,32,569,368,"mylyn","single-version-ck-oo.csv"
0,0,3,6,3,"mylyn","single-version-ck-oo.csv"
0,0,2,46,12,"mylyn","single-version-ck-oo.csv"
0,1,2,27,8,"mylyn","single-version-ck-oo.csv"
2,2,12,118,46,"mylyn","single-version-ck-oo.csv"
0,5,5,65,27,"mylyn","single-version-ck-oo.csv"
0,1,6,73,25,"mylyn","single-version-ck-oo.csv"
0,5,5,43,24,"mylyn","single-version-ck-oo.csv"
0,2,2,44,11,"mylyn","single-version-ck-oo.csv"
1,4,9,101,60,"mylyn","single-version-ck-oo.csv"
0,0,1,81,5,"mylyn","single-version-ck-oo.csv"
0,3,4,23,10,"mylyn","single-version-ck-oo.csv"
2,11,13,206,135,"mylyn","single-version-ck-oo.csv"
7,19,20,295,93,"mylyn","single-version-ck-oo.csv"
0,5,6,64,20,"mylyn","single-version-ck-oo.csv"
0,0,5,40,12,"mylyn","single-version-ck-oo.csv"
0,0,3,36,12,"mylyn","single-version-ck-oo.csv"
0,14,31,213,128,"mylyn","single-version-ck-oo.csv"
0,2,2,7,5,"mylyn","single-version-ck-oo.csv"
0,7,9,34,25,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
1,4,6,79,22,"mylyn","single-version-ck-oo.csv"
0,0,2,19,10,"mylyn","single-version-ck-oo.csv"
0,3,4,16,10,"mylyn","single-version-ck-oo.csv"
0,3,15,27,20,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
7,9,13,224,91,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,7,10,147,49,"mylyn","single-version-ck-oo.csv"
0,3,4,31,12,"mylyn","single-version-ck-oo.csv"
0,0,0,29,4,"mylyn","single-version-ck-oo.csv"
0,12,12,70,45,"mylyn","single-version-ck-oo.csv"
0,1,5,26,13,"mylyn","single-version-ck-oo.csv"
2,3,4,40,13,"mylyn","single-version-ck-oo.csv"
0,0,1,24,9,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,0,13,6,"mylyn","single-version-ck-oo.csv"
0,1,1,10,5,"mylyn","single-version-ck-oo.csv"
0,15,50,197,133,"mylyn","single-version-ck-oo.csv"
0,0,8,27,8,"mylyn","single-version-ck-oo.csv"
0,16,17,132,44,"mylyn","single-version-ck-oo.csv"
0,1,1,40,12,"mylyn","single-version-ck-oo.csv"
1,3,6,47,15,"mylyn","single-version-ck-oo.csv"
2,6,33,209,84,"mylyn","single-version-ck-oo.csv"
3,2,2,78,29,"mylyn","single-version-ck-oo.csv"
1,8,13,61,36,"mylyn","single-version-ck-oo.csv"
0,0,2,0,2,"mylyn","single-version-ck-oo.csv"
0,6,7,33,25,"mylyn","single-version-ck-oo.csv"
1,1,4,9,3,"mylyn","single-version-ck-oo.csv"
0,9,9,54,27,"mylyn","single-version-ck-oo.csv"
9,16,21,412,169,"mylyn","single-version-ck-oo.csv"
1,1,3,9,3,"mylyn","single-version-ck-oo.csv"
0,0,1,18,8,"mylyn","single-version-ck-oo.csv"
0,4,5,9,9,"mylyn","single-version-ck-oo.csv"
0,0,0,8,2,"mylyn","single-version-ck-oo.csv"
0,3,5,37,22,"mylyn","single-version-ck-oo.csv"
10,7,10,134,51,"mylyn","single-version-ck-oo.csv"
1,1,5,9,3,"mylyn","single-version-ck-oo.csv"
0,0,1,15,6,"mylyn","single-version-ck-oo.csv"
0,12,12,90,38,"mylyn","single-version-ck-oo.csv"
0,0,6,99,31,"mylyn","single-version-ck-oo.csv"
0,4,5,24,20,"mylyn","single-version-ck-oo.csv"
0,1,1,5,2,"mylyn","single-version-ck-oo.csv"
0,0,2,0,4,"mylyn","single-version-ck-oo.csv"
1,11,16,127,60,"mylyn","single-version-ck-oo.csv"
0,4,4,555,182,"mylyn","single-version-ck-oo.csv"
5,10,11,265,86,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,1,2,27,10,"mylyn","single-version-ck-oo.csv"
0,8,8,258,105,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,1,54,24,"mylyn","single-version-ck-oo.csv"
1,2,3,19,7,"mylyn","single-version-ck-oo.csv"
0,4,5,49,17,"mylyn","single-version-ck-oo.csv"
1,11,11,67,37,"mylyn","single-version-ck-oo.csv"
0,0,7,0,4,"mylyn","single-version-ck-oo.csv"
0,5,6,55,20,"mylyn","single-version-ck-oo.csv"
0,2,3,59,22,"mylyn","single-version-ck-oo.csv"
0,3,5,18,9,"mylyn","single-version-ck-oo.csv"
1,5,6,105,28,"mylyn","single-version-ck-oo.csv"
2,3,3,34,19,"mylyn","single-version-ck-oo.csv"
23,58,97,1115,470,"mylyn","single-version-ck-oo.csv"
3,8,10,91,53,"mylyn","single-version-ck-oo.csv"
1,3,4,47,23,"mylyn","single-version-ck-oo.csv"
0,3,4,16,10,"mylyn","single-version-ck-oo.csv"
0,4,4,73,32,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,6,7,64,22,"mylyn","single-version-ck-oo.csv"
0,1,1,40,16,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,8,10,46,21,"mylyn","single-version-ck-oo.csv"
0,0,1,0,1,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,4,6,35,18,"mylyn","single-version-ck-oo.csv"
3,3,3,35,19,"mylyn","single-version-ck-oo.csv"
0,1,1,36,8,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
2,6,8,63,31,"mylyn","single-version-ck-oo.csv"
0,1,1,6,3,"mylyn","single-version-ck-oo.csv"
0,1,3,9,4,"mylyn","single-version-ck-oo.csv"
0,6,8,87,25,"mylyn","single-version-ck-oo.csv"
0,0,1,5,3,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,1,3,19,7,"mylyn","single-version-ck-oo.csv"
0,0,1,11,3,"mylyn","single-version-ck-oo.csv"
3,10,12,134,68,"mylyn","single-version-ck-oo.csv"
5,17,19,117,59,"mylyn","single-version-ck-oo.csv"
0,1,5,23,12,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,1,20,8,"mylyn","single-version-ck-oo.csv"
0,3,4,36,17,"mylyn","single-version-ck-oo.csv"
0,0,3,6,3,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,2,2,3,4,"mylyn","single-version-ck-oo.csv"
1,1,5,39,14,"mylyn","single-version-ck-oo.csv"
2,11,14,154,78,"mylyn","single-version-ck-oo.csv"
1,16,29,108,60,"mylyn","single-version-ck-oo.csv"
0,1,1,18,8,"mylyn","single-version-ck-oo.csv"
0,5,5,66,31,"mylyn","single-version-ck-oo.csv"
0,0,6,3,1,"mylyn","single-version-ck-oo.csv"
1,1,4,34,9,"mylyn","single-version-ck-oo.csv"
0,0,2,23,5,"mylyn","single-version-ck-oo.csv"
0,4,7,75,27,"mylyn","single-version-ck-oo.csv"
1,1,2,9,3,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,5,7,50,29,"mylyn","single-version-ck-oo.csv"
0,4,4,67,27,"mylyn","single-version-ck-oo.csv"
0,11,12,303,144,"mylyn","single-version-ck-oo.csv"
0,1,1,13,6,"mylyn","single-version-ck-oo.csv"
0,0,2,14,4,"mylyn","single-version-ck-oo.csv"
0,5,8,12,8,"mylyn","single-version-ck-oo.csv"
0,6,6,37,21,"mylyn","single-version-ck-oo.csv"
5,3,3,104,39,"mylyn","single-version-ck-oo.csv"
0,9,10,89,41,"mylyn","single-version-ck-oo.csv"
0,0,4,9,4,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,2,22,9,"mylyn","single-version-ck-oo.csv"
0,10,11,71,34,"mylyn","single-version-ck-oo.csv"
0,2,4,21,14,"mylyn","single-version-ck-oo.csv"
0,6,8,55,24,"mylyn","single-version-ck-oo.csv"
0,1,1,4,2,"mylyn","single-version-ck-oo.csv"
1,3,3,18,8,"mylyn","single-version-ck-oo.csv"
1,11,11,110,45,"mylyn","single-version-ck-oo.csv"
5,10,11,263,66,"mylyn","single-version-ck-oo.csv"
1,5,6,46,22,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
3,0,1,51,16,"mylyn","single-version-ck-oo.csv"
1,7,8,77,52,"mylyn","single-version-ck-oo.csv"
0,3,4,61,17,"mylyn","single-version-ck-oo.csv"
0,0,1,8,4,"mylyn","single-version-ck-oo.csv"
0,0,1,6,2,"mylyn","single-version-ck-oo.csv"
0,0,1,9,5,"mylyn","single-version-ck-oo.csv"
1,4,7,101,54,"mylyn","single-version-ck-oo.csv"
0,6,6,120,75,"mylyn","single-version-ck-oo.csv"
2,2,3,90,29,"mylyn","single-version-ck-oo.csv"
4,1,2,54,18,"mylyn","single-version-ck-oo.csv"
1,12,17,172,71,"mylyn","single-version-ck-oo.csv"
0,0,1,15,6,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,0,1,0,1,"mylyn","single-version-ck-oo.csv"
0,8,9,57,27,"mylyn","single-version-ck-oo.csv"
0,11,11,42,22,"mylyn","single-version-ck-oo.csv"
5,19,56,560,302,"mylyn","single-version-ck-oo.csv"
0,0,1,0,1,"mylyn","single-version-ck-oo.csv"
0,4,4,18,8,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,2,21,8,"mylyn","single-version-ck-oo.csv"
1,2,4,36,16,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,0,3,3,1,"mylyn","single-version-ck-oo.csv"
0,1,1,105,29,"mylyn","single-version-ck-oo.csv"
2,3,3,37,19,"mylyn","single-version-ck-oo.csv"
0,4,11,47,23,"mylyn","single-version-ck-oo.csv"
0,2,3,31,10,"mylyn","single-version-ck-oo.csv"
0,4,6,20,10,"mylyn","single-version-ck-oo.csv"
0,12,16,123,44,"mylyn","single-version-ck-oo.csv"
2,19,22,106,71,"mylyn","single-version-ck-oo.csv"
0,5,10,19,18,"mylyn","single-version-ck-oo.csv"
1,0,0,12,5,"mylyn","single-version-ck-oo.csv"
7,7,8,427,116,"mylyn","single-version-ck-oo.csv"
0,2,15,146,51,"mylyn","single-version-ck-oo.csv"
0,3,5,17,8,"mylyn","single-version-ck-oo.csv"
0,0,1,12,4,"mylyn","single-version-ck-oo.csv"
0,0,4,48,17,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,2,4,30,11,"mylyn","single-version-ck-oo.csv"
0,6,7,40,22,"mylyn","single-version-ck-oo.csv"
0,3,4,8,5,"mylyn","single-version-ck-oo.csv"
0,8,9,92,35,"mylyn","single-version-ck-oo.csv"
0,5,6,79,43,"mylyn","single-version-ck-oo.csv"
2,6,17,84,40,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,2,3,9,5,"mylyn","single-version-ck-oo.csv"
1,5,5,92,45,"mylyn","single-version-ck-oo.csv"
2,8,8,49,24,"mylyn","single-version-ck-oo.csv"
1,3,3,55,25,"mylyn","single-version-ck-oo.csv"
0,1,3,8,5,"mylyn","single-version-ck-oo.csv"
0,3,8,64,22,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,3,39,22,"mylyn","single-version-ck-oo.csv"
0,2,3,6,4,"mylyn","single-version-ck-oo.csv"
0,0,1,16,6,"mylyn","single-version-ck-oo.csv"
1,8,9,39,20,"mylyn","single-version-ck-oo.csv"
0,1,1,79,11,"mylyn","single-version-ck-oo.csv"
0,1,1,3,2,"mylyn","single-version-ck-oo.csv"
4,5,7,106,36,"mylyn","single-version-ck-oo.csv"
0,1,1,13,6,"mylyn","single-version-ck-oo.csv"
0,1,21,75,26,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
1,4,7,41,28,"mylyn","single-version-ck-oo.csv"
0,6,6,326,68,"mylyn","single-version-ck-oo.csv"
0,0,1,33,12,"mylyn","single-version-ck-oo.csv"
0,9,9,37,17,"mylyn","single-version-ck-oo.csv"
0,1,1,13,5,"mylyn","single-version-ck-oo.csv"
5,12,15,164,77,"mylyn","single-version-ck-oo.csv"
0,1,1,33,11,"mylyn","single-version-ck-oo.csv"
0,0,3,3,1,"mylyn","single-version-ck-oo.csv"
0,2,3,32,20,"mylyn","single-version-ck-oo.csv"
1,0,0,32,11,"mylyn","single-version-ck-oo.csv"
0,1,2,11,6,"mylyn","single-version-ck-oo.csv"
0,0,5,0,5,"mylyn","single-version-ck-oo.csv"
0,1,2,8,4,"mylyn","single-version-ck-oo.csv"
4,6,7,114,37,"mylyn","single-version-ck-oo.csv"
3,9,11,105,55,"mylyn","single-version-ck-oo.csv"
0,0,12,17,6,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,1,3,7,3,"mylyn","single-version-ck-oo.csv"
0,2,2,18,14,"mylyn","single-version-ck-oo.csv"
2,18,20,173,75,"mylyn","single-version-ck-oo.csv"
2,16,18,164,59,"mylyn","single-version-ck-oo.csv"
1,1,1,53,17,"mylyn","single-version-ck-oo.csv"
2,13,18,152,74,"mylyn","single-version-ck-oo.csv"
1,12,32,87,51,"mylyn","single-version-ck-oo.csv"
0,7,7,80,34,"mylyn","single-version-ck-oo.csv"
5,6,7,192,42,"mylyn","single-version-ck-oo.csv"
0,2,2,11,9,"mylyn","single-version-ck-oo.csv"
1,1,1,19,11,"mylyn","single-version-ck-oo.csv"
0,6,7,66,29,"mylyn","single-version-ck-oo.csv"
0,0,3,0,4,"mylyn","single-version-ck-oo.csv"
1,1,4,116,35,"mylyn","single-version-ck-oo.csv"
0,2,2,70,29,"mylyn","single-version-ck-oo.csv"
0,4,9,186,84,"mylyn","single-version-ck-oo.csv"
0,5,6,98,26,"mylyn","single-version-ck-oo.csv"
0,3,3,15,10,"mylyn","single-version-ck-oo.csv"
0,8,40,84,53,"mylyn","single-version-ck-oo.csv"
3,3,3,81,32,"mylyn","single-version-ck-oo.csv"
0,0,2,6,2,"mylyn","single-version-ck-oo.csv"
0,3,4,14,7,"mylyn","single-version-ck-oo.csv"
3,4,13,149,30,"mylyn","single-version-ck-oo.csv"
0,11,14,190,65,"mylyn","single-version-ck-oo.csv"
3,3,4,115,39,"mylyn","single-version-ck-oo.csv"
13,50,79,829,381,"mylyn","single-version-ck-oo.csv"
0,0,3,0,1,"mylyn","single-version-ck-oo.csv"
0,0,2,16,6,"mylyn","single-version-ck-oo.csv"
0,5,7,99,25,"mylyn","single-version-ck-oo.csv"
1,1,3,9,3,"mylyn","single-version-ck-oo.csv"
0,1,2,21,9,"mylyn","single-version-ck-oo.csv"
0,0,2,12,8,"mylyn","single-version-ck-oo.csv"
0,0,0,38,11,"mylyn","single-version-ck-oo.csv"
0,5,15,55,26,"mylyn","single-version-ck-oo.csv"
0,8,9,31,17,"mylyn","single-version-ck-oo.csv"
0,1,2,9,5,"mylyn","single-version-ck-oo.csv"
0,1,2,26,11,"mylyn","single-version-ck-oo.csv"
1,5,5,129,86,"mylyn","single-version-ck-oo.csv"
0,3,7,169,43,"mylyn","single-version-ck-oo.csv"
0,0,2,3,1,"mylyn","single-version-ck-oo.csv"
2,14,15,227,129,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,2,2,43,12,"mylyn","single-version-ck-oo.csv"
0,0,1,3,1,"mylyn","single-version-ck-oo.csv"
0,3,3,13,8,"mylyn","single-version-ck-oo.csv"
0,5,6,54,26,"mylyn","single-version-ck-oo.csv"
0,1,1,3,3,"mylyn","single-version-ck-oo.csv"
1,1,1,34,13,"mylyn","single-version-ck-oo.csv"
1,3,4,12,7,"mylyn","single-version-ck-oo.csv"
0,0,2,4,3,"mylyn","single-version-ck-oo.csv"
7,9,9,164,64,"mylyn","single-version-ck-oo.csv"
3,7,229,39,28,"mylyn","single-version-ck-oo.csv"
0,3,3,57,23,"mylyn","single-version-ck-oo.csv"
0,0,1,13,6,"mylyn","single-version-ck-oo.csv"
1,12,13,292,93,"mylyn","single-version-ck-oo.csv"
0,2,3,109,41,"mylyn","single-version-ck-oo.csv"
1,5,5,71,33,"mylyn","single-version-ck-oo.csv"
0,4,5,40,20,"mylyn","single-version-ck-oo.csv"
0,2,2,49,17,"mylyn","single-version-ck-oo.csv"
0,3,4,68,21,"mylyn","single-version-ck-oo.csv"
1,6,7,96,53,"mylyn","single-version-ck-oo.csv"
1,0,1,29,11,"mylyn","single-version-ck-oo.csv"
8,5,5,205,49,"mylyn","single-version-ck-oo.csv"
1,1,9,20,19,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,2,17,77,28,"mylyn","single-version-ck-oo.csv"
0,5,6,55,22,"mylyn","single-version-ck-oo.csv"
0,2,2,21,10,"mylyn","single-version-ck-oo.csv"
0,0,0,18,10,"mylyn","single-version-ck-oo.csv"
0,11,15,71,59,"mylyn","single-version-ck-oo.csv"
0,4,5,34,18,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,4,12,51,21,"mylyn","single-version-ck-oo.csv"
2,7,9,64,33,"mylyn","single-version-ck-oo.csv"
0,4,5,18,7,"mylyn","single-version-ck-oo.csv"
2,3,3,71,27,"mylyn","single-version-ck-oo.csv"
0,0,1,47,12,"mylyn","single-version-ck-oo.csv"
0,2,3,6,4,"mylyn","single-version-ck-oo.csv"
3,14,16,173,103,"mylyn","single-version-ck-oo.csv"
0,1,1,3,2,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
0,0,3,3,1,"mylyn","single-version-ck-oo.csv"
0,2,7,15,8,"mylyn","single-version-ck-oo.csv"
4,3,4,34,18,"mylyn","single-version-ck-oo.csv"
0,6,7,42,27,"mylyn","single-version-ck-oo.csv"
0,1,3,20,8,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,0,1,0,1,"mylyn","single-version-ck-oo.csv"
4,11,18,140,66,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
3,7,53,121,54,"mylyn","single-version-ck-oo.csv"
1,0,0,95,8,"mylyn","single-version-ck-oo.csv"
13,18,25,569,293,"mylyn","single-version-ck-oo.csv"
4,26,53,253,132,"mylyn","single-version-ck-oo.csv"
12,13,13,316,94,"mylyn","single-version-ck-oo.csv"
2,8,8,164,85,"mylyn","single-version-ck-oo.csv"
1,1,1,18,11,"mylyn","single-version-ck-oo.csv"
0,6,6,184,97,"mylyn","single-version-ck-oo.csv"
1,5,80,87,47,"mylyn","single-version-ck-oo.csv"
1,1,1,46,19,"mylyn","single-version-ck-oo.csv"
0,0,1,16,8,"mylyn","single-version-ck-oo.csv"
0,1,2,15,6,"mylyn","single-version-ck-oo.csv"
0,0,0,7,2,"mylyn","single-version-ck-oo.csv"
0,1,4,24,14,"mylyn","single-version-ck-oo.csv"
0,4,6,47,25,"mylyn","single-version-ck-oo.csv"
0,1,1,40,12,"mylyn","single-version-ck-oo.csv"
0,2,2,85,11,"mylyn","single-version-ck-oo.csv"
0,1,1,3,3,"mylyn","single-version-ck-oo.csv"
0,5,6,12,25,"mylyn","single-version-ck-oo.csv"
0,8,8,77,42,"mylyn","single-version-ck-oo.csv"
1,4,4,106,34,"mylyn","single-version-ck-oo.csv"
3,2,2,105,32,"mylyn","single-version-ck-oo.csv"
0,5,7,22,13,"mylyn","single-version-ck-oo.csv"
0,5,11,77,39,"mylyn","single-version-ck-oo.csv"
0,5,7,16,13,"mylyn","single-version-ck-oo.csv"
1,0,1,28,11,"mylyn","single-version-ck-oo.csv"
0,0,1,3,2,"mylyn","single-version-ck-oo.csv"
9,16,17,293,146,"mylyn","single-version-ck-oo.csv"
0,9,11,55,27,"mylyn","single-version-ck-oo.csv"
2,12,30,462,292,"mylyn","single-version-ck-oo.csv"
0,4,4,10,7,"mylyn","single-version-ck-oo.csv"
4,42,152,672,299,"mylyn","single-version-ck-oo.csv"
0,0,1,11,4,"mylyn","single-version-ck-oo.csv"
1,9,9,96,51,"mylyn","single-version-ck-oo.csv"
9,8,12,448,73,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,1,3,13,5,"mylyn","single-version-ck-oo.csv"
1,2,3,16,10,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,2,3,22,10,"mylyn","single-version-ck-oo.csv"
2,5,6,72,32,"mylyn","single-version-ck-oo.csv"
0,6,7,116,25,"mylyn","single-version-ck-oo.csv"
0,6,7,54,28,"mylyn","single-version-ck-oo.csv"
0,1,3,13,5,"mylyn","single-version-ck-oo.csv"
7,31,64,989,530,"mylyn","single-version-ck-oo.csv"
0,2,3,53,26,"mylyn","single-version-ck-oo.csv"
0,8,9,35,18,"mylyn","single-version-ck-oo.csv"
1,3,3,32,14,"mylyn","single-version-ck-oo.csv"
0,0,0,3,2,"mylyn","single-version-ck-oo.csv"
0,0,7,14,13,"mylyn","single-version-ck-oo.csv"
0,7,8,46,24,"mylyn","single-version-ck-oo.csv"
0,1,3,27,15,"mylyn","single-version-ck-oo.csv"
1,16,16,101,44,"mylyn","single-version-ck-oo.csv"
0,24,28,74,35,"mylyn","single-version-ck-oo.csv"
0,0,1,3,1,"mylyn","single-version-ck-oo.csv"
0,4,14,171,76,"mylyn","single-version-ck-oo.csv"
4,1,2,54,18,"mylyn","single-version-ck-oo.csv"
0,3,4,78,28,"mylyn","single-version-ck-oo.csv"
0,2,2,5,5,"mylyn","single-version-ck-oo.csv"
0,5,5,65,27,"mylyn","single-version-ck-oo.csv"
0,2,4,52,21,"mylyn","single-version-ck-oo.csv"
0,8,13,89,39,"mylyn","single-version-ck-oo.csv"
0,2,4,26,10,"mylyn","single-version-ck-oo.csv"
2,10,10,104,48,"mylyn","single-version-ck-oo.csv"
1,29,44,452,219,"mylyn","single-version-ck-oo.csv"
0,0,0,6,1,"mylyn","single-version-ck-oo.csv"
1,9,11,65,32,"mylyn","single-version-ck-oo.csv"
0,0,1,6,2,"mylyn","single-version-ck-oo.csv"
0,7,13,45,28,"mylyn","single-version-ck-oo.csv"
0,1,1,9,4,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
0,3,3,60,14,"mylyn","single-version-ck-oo.csv"
0,0,0,4,2,"mylyn","single-version-ck-oo.csv"
0,7,10,164,67,"mylyn","single-version-ck-oo.csv"
0,0,3,20,7,"mylyn","single-version-ck-oo.csv"
1,6,7,45,25,"mylyn","single-version-ck-oo.csv"
3,13,13,201,53,"mylyn","single-version-ck-oo.csv"
0,1,13,114,51,"mylyn","single-version-ck-oo.csv"
0,2,3,30,18,"mylyn","single-version-ck-oo.csv"
7,14,15,252,158,"mylyn","single-version-ck-oo.csv"
0,10,13,49,26,"mylyn","single-version-ck-oo.csv"
0,0,7,14,5,"mylyn","single-version-ck-oo.csv"
3,7,8,83,62,"mylyn","single-version-ck-oo.csv"
0,1,2,33,14,"mylyn","single-version-ck-oo.csv"
1,12,15,85,47,"mylyn","single-version-ck-oo.csv"
0,4,5,41,12,"mylyn","single-version-ck-oo.csv"
0,0,0,3,1,"mylyn","single-version-ck-oo.csv"
2,3,3,47,21,"mylyn","single-version-ck-oo.csv"
5,3,3,149,38,"mylyn","single-version-ck-oo.csv"
0,9,11,50,32,"mylyn","single-version-ck-oo.csv"
2,7,8,111,47,"mylyn","single-version-ck-oo.csv"
0,0,2,2,1,"mylyn","single-version-ck-oo.csv"
9,18,19,167,103,"mylyn","single-version-ck-oo.csv"
0,0,1,3,3,"mylyn","single-version-ck-oo.csv"
0,0,5,14,5,"mylyn","single-version-ck-oo.csv"
9,15,15,510,211,"mylyn","single-version-ck-oo.csv"
0,5,6,16,11,"mylyn","single-version-ck-oo.csv"
0,0,0,0,0,"mylyn","single-version-ck-oo.csv"
2,3,5,55,30,"mylyn","single-version-ck-oo.csv"
6,8,23,110,64,"mylyn","single-version-ck-oo.csv"
0,0,4,30,11,"mylyn","single-version-ck-oo.csv"
0,5,8,28,18,"mylyn","single-version-ck-oo.csv"
0,0,4,19,7,"mylyn","single-version-ck-oo.csv"
2,8,12,40,33,"mylyn","single-version-ck-oo.csv"
0,2,2,14,11,"mylyn","single-version-ck-oo.csv"
1,8,9,112,40,"mylyn","single-version-ck-oo.csv"
0,9,10,45,31,"mylyn","single-version-ck-oo.csv"
0,14,14,125,49,"mylyn","single-version-ck-oo.csv"
1,6,12,75,28,"mylyn","single-version-ck-oo.csv"
0,4,4,147,37,"mylyn","single-version-ck-oo.csv"
0,3,4,17,9,"mylyn","single-version-ck-oo.csv"
5,24,43,551,284,"mylyn","single-version-ck-oo.csv"
0,10,11,40,24,"mylyn","single-version-ck-oo.csv"
1,2,4,69,27,"mylyn","single-version-ck-oo.csv"
2,3,6,161,43,"mylyn","single-version-ck-oo.csv"
0,2,2,14,8,"mylyn","single-version-ck-oo.csv"
0,2,3,39,9,"mylyn","single-version-ck-oo.csv"
0,4,4,38,10,"mylyn","single-version-ck-oo.csv"
1,3,10,47,19,"mylyn","single-version-ck-oo.csv"
0,9,13,50,22,"mylyn","single-version-ck-oo.csv"
8,35,36,553,347,"mylyn","single-version-ck-oo.csv"
1,3,5,28,14,"mylyn","single-version-ck-oo.csv"
1,6,8,105,42,"mylyn","single-version-ck-oo.csv"
1,0,0,2,1,"mylyn","single-version-ck-oo.csv"
0,0,1,0,3,"mylyn","single-version-ck-oo.csv"
0,3,3,53,14,"mylyn","single-version-ck-oo.csv"
2,17,17,131,73,"mylyn","single-version-ck-oo.csv"
0,5,6,76,33,"mylyn","single-version-ck-oo.csv"
1,3,3,98,17,"mylyn","single-version-ck-oo.csv"
0,4,6,25,14,"mylyn","single-version-ck-oo.csv"
0,5,13,168,77,"mylyn","single-version-ck-oo.csv"
1,4,7,103,54,"mylyn","single-version-ck-oo.csv"
0,0,1,9,4,"mylyn","single-version-ck-oo.csv"
1,3,4,61,17,"mylyn","single-version-ck-oo.csv"
0,1,1,9,6,"mylyn","single-version-ck-oo.csv"
9,23,43,415,167,"mylyn","single-version-ck-oo.csv"
