"linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","maxCodeChurnUntil.","directory","k"
322,49,242,37,30,"eclipse","change-metrics.csv"
613,35,566,171,28,"eclipse","change-metrics.csv"
653,29,87,170,170,"eclipse","change-metrics.csv"
142,6,6,68,68,"eclipse","change-metrics.csv"
133,15,101,34,20,"eclipse","change-metrics.csv"
9587,210,7432,1441,359,"eclipse","change-metrics.csv"
416,11,166,224,180,"eclipse","change-metrics.csv"
14,5,9,6,6,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
426,34,418,140,22,"eclipse","change-metrics.csv"
242,31,239,95,9,"eclipse","change-metrics.csv"
490,73,446,95,19,"eclipse","change-metrics.csv"
411,45,230,146,61,"eclipse","change-metrics.csv"
407,22,414,195,21,"eclipse","change-metrics.csv"
12,6,12,7,0,"eclipse","change-metrics.csv"
0,2,0,0,0,"eclipse","change-metrics.csv"
324,41,695,37,28,"eclipse","change-metrics.csv"
148,10,16,64,64,"eclipse","change-metrics.csv"
12,6,4,5,5,"eclipse","change-metrics.csv"
6101,183,5117,979,171,"eclipse","change-metrics.csv"
4660,41,4669,487,296,"eclipse","change-metrics.csv"
58,17,54,21,6,"eclipse","change-metrics.csv"
190,41,207,38,4,"eclipse","change-metrics.csv"
48,6,22,25,16,"eclipse","change-metrics.csv"
42,16,38,17,4,"eclipse","change-metrics.csv"
474,36,288,172,72,"eclipse","change-metrics.csv"
65,24,65,11,6,"eclipse","change-metrics.csv"
51,10,29,22,22,"eclipse","change-metrics.csv"
124,10,34,76,58,"eclipse","change-metrics.csv"
27,6,16,7,7,"eclipse","change-metrics.csv"
23,11,16,9,7,"eclipse","change-metrics.csv"
13,3,2,12,11,"eclipse","change-metrics.csv"
50,16,21,9,8,"eclipse","change-metrics.csv"
260,19,44,79,79,"eclipse","change-metrics.csv"
28,6,6,11,11,"eclipse","change-metrics.csv"
139,29,140,57,7,"eclipse","change-metrics.csv"
487,37,445,240,43,"eclipse","change-metrics.csv"
3,4,3,1,0,"eclipse","change-metrics.csv"
233,6,261,219,1,"eclipse","change-metrics.csv"
315,37,362,76,11,"eclipse","change-metrics.csv"
533,50,453,143,56,"eclipse","change-metrics.csv"
144,7,8,68,68,"eclipse","change-metrics.csv"
431,7,9,206,206,"eclipse","change-metrics.csv"
4684,141,4720,670,219,"eclipse","change-metrics.csv"
148,30,146,48,5,"eclipse","change-metrics.csv"
255,42,177,41,10,"eclipse","change-metrics.csv"
501,42,295,172,74,"eclipse","change-metrics.csv"
52,5,28,29,10,"eclipse","change-metrics.csv"
379,32,385,151,17,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
35,14,15,10,10,"eclipse","change-metrics.csv"
1544,86,1920,671,28,"eclipse","change-metrics.csv"
36511,413,25887,2702,868,"eclipse","change-metrics.csv"
4053,139,3545,618,92,"eclipse","change-metrics.csv"
1635,90,836,276,204,"eclipse","change-metrics.csv"
687,51,309,119,104,"eclipse","change-metrics.csv"
203,22,173,66,32,"eclipse","change-metrics.csv"
3670,181,2841,599,180,"eclipse","change-metrics.csv"
855,42,606,407,116,"eclipse","change-metrics.csv"
26,6,2,15,14,"eclipse","change-metrics.csv"
253,28,253,92,9,"eclipse","change-metrics.csv"
1,2,1,1,0,"eclipse","change-metrics.csv"
7409,252,5091,1496,1296,"eclipse","change-metrics.csv"
153,9,9,72,72,"eclipse","change-metrics.csv"
549,58,519,125,29,"eclipse","change-metrics.csv"
464,23,52,123,123,"eclipse","change-metrics.csv"
103,21,24,37,37,"eclipse","change-metrics.csv"
19,9,15,5,2,"eclipse","change-metrics.csv"
130,21,55,52,52,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
12,2,1,12,11,"eclipse","change-metrics.csv"
373,9,265,341,82,"eclipse","change-metrics.csv"
1148,48,1122,464,49,"eclipse","change-metrics.csv"
646,65,1489,64,34,"eclipse","change-metrics.csv"
1711,96,1509,272,50,"eclipse","change-metrics.csv"
10,2,4,10,6,"eclipse","change-metrics.csv"
5188,35,939,1713,1511,"eclipse","change-metrics.csv"
1012,40,469,232,154,"eclipse","change-metrics.csv"
1462,36,665,425,270,"eclipse","change-metrics.csv"
9,7,9,3,0,"eclipse","change-metrics.csv"
251,24,172,67,20,"eclipse","change-metrics.csv"
2422,150,1764,411,151,"eclipse","change-metrics.csv"
174,27,161,52,8,"eclipse","change-metrics.csv"
185,27,145,41,16,"eclipse","change-metrics.csv"
391,35,329,131,32,"eclipse","change-metrics.csv"
168,27,46,57,53,"eclipse","change-metrics.csv"
421,70,333,62,32,"eclipse","change-metrics.csv"
1636,50,1804,295,18,"eclipse","change-metrics.csv"
30,13,49,9,0,"eclipse","change-metrics.csv"
192,14,130,79,32,"eclipse","change-metrics.csv"
237,18,69,200,157,"eclipse","change-metrics.csv"
667,57,663,263,14,"eclipse","change-metrics.csv"
946,66,862,169,22,"eclipse","change-metrics.csv"
185,31,190,83,6,"eclipse","change-metrics.csv"
514,39,464,158,25,"eclipse","change-metrics.csv"
355,46,321,65,11,"eclipse","change-metrics.csv"
117,12,230,43,7,"eclipse","change-metrics.csv"
1269,63,1232,287,24,"eclipse","change-metrics.csv"
388,9,20,267,256,"eclipse","change-metrics.csv"
928,48,639,293,68,"eclipse","change-metrics.csv"
326,40,323,134,14,"eclipse","change-metrics.csv"
64,18,51,25,6,"eclipse","change-metrics.csv"
2270,69,2019,728,98,"eclipse","change-metrics.csv"
501,40,295,174,74,"eclipse","change-metrics.csv"
297,35,117,92,74,"eclipse","change-metrics.csv"
203,34,225,54,4,"eclipse","change-metrics.csv"
711,62,516,106,28,"eclipse","change-metrics.csv"
10114,233,8989,619,300,"eclipse","change-metrics.csv"
146,24,150,65,4,"eclipse","change-metrics.csv"
584,22,365,155,53,"eclipse","change-metrics.csv"
182,15,92,53,52,"eclipse","change-metrics.csv"
2364,90,1422,335,149,"eclipse","change-metrics.csv"
821,59,531,243,170,"eclipse","change-metrics.csv"
197,26,198,69,9,"eclipse","change-metrics.csv"
74,6,30,50,34,"eclipse","change-metrics.csv"
4457,122,4192,1312,357,"eclipse","change-metrics.csv"
4159,184,2077,756,756,"eclipse","change-metrics.csv"
57,15,43,20,8,"eclipse","change-metrics.csv"
225,23,221,83,6,"eclipse","change-metrics.csv"
581,29,595,232,5,"eclipse","change-metrics.csv"
5,3,2,4,3,"eclipse","change-metrics.csv"
1561,80,924,247,223,"eclipse","change-metrics.csv"
33,7,32,17,1,"eclipse","change-metrics.csv"
1072,52,1049,316,17,"eclipse","change-metrics.csv"
80,11,76,31,4,"eclipse","change-metrics.csv"
701,39,460,321,100,"eclipse","change-metrics.csv"
201,30,115,76,37,"eclipse","change-metrics.csv"
3080,156,2705,677,128,"eclipse","change-metrics.csv"
23,5,3,9,9,"eclipse","change-metrics.csv"
270,37,243,69,10,"eclipse","change-metrics.csv"
265,27,149,104,53,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
20,11,15,6,2,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
198,23,146,57,50,"eclipse","change-metrics.csv"
2188,126,2009,397,53,"eclipse","change-metrics.csv"
57,26,24,10,10,"eclipse","change-metrics.csv"
334,42,278,103,18,"eclipse","change-metrics.csv"
25,4,3,16,13,"eclipse","change-metrics.csv"
106,18,79,42,10,"eclipse","change-metrics.csv"
110,16,86,59,54,"eclipse","change-metrics.csv"
64,15,61,28,26,"eclipse","change-metrics.csv"
71,24,71,11,7,"eclipse","change-metrics.csv"
54,4,18,26,18,"eclipse","change-metrics.csv"
11,3,9,6,2,"eclipse","change-metrics.csv"
42,10,51,20,1,"eclipse","change-metrics.csv"
792,55,845,127,124,"eclipse","change-metrics.csv"
238,12,83,73,57,"eclipse","change-metrics.csv"
3003,156,2591,501,72,"eclipse","change-metrics.csv"
588,53,550,183,34,"eclipse","change-metrics.csv"
11891,368,9805,1854,271,"eclipse","change-metrics.csv"
2297,71,1677,522,348,"eclipse","change-metrics.csv"
14750,80,16495,3120,531,"eclipse","change-metrics.csv"
904,56,474,218,132,"eclipse","change-metrics.csv"
103,4,1,54,54,"eclipse","change-metrics.csv"
6,4,6,4,0,"eclipse","change-metrics.csv"
700,27,725,202,17,"eclipse","change-metrics.csv"
28,8,18,7,6,"eclipse","change-metrics.csv"
209,29,245,48,36,"eclipse","change-metrics.csv"
58,4,6,21,19,"eclipse","change-metrics.csv"
319,42,213,45,37,"eclipse","change-metrics.csv"
956,33,112,256,256,"eclipse","change-metrics.csv"
8,2,3,8,5,"eclipse","change-metrics.csv"
2,4,2,1,0,"eclipse","change-metrics.csv"
8,6,8,4,0,"eclipse","change-metrics.csv"
12,2,1,12,11,"eclipse","change-metrics.csv"
223,7,10,114,114,"eclipse","change-metrics.csv"
3,3,2,2,1,"eclipse","change-metrics.csv"
76,19,51,25,12,"eclipse","change-metrics.csv"
112,20,90,50,10,"eclipse","change-metrics.csv"
1312,39,812,242,201,"eclipse","change-metrics.csv"
909,52,936,426,7,"eclipse","change-metrics.csv"
365,29,343,100,50,"eclipse","change-metrics.csv"
166,19,146,47,18,"eclipse","change-metrics.csv"
14,2,0,14,14,"eclipse","change-metrics.csv"
637,32,629,155,9,"eclipse","change-metrics.csv"
144,21,58,23,23,"eclipse","change-metrics.csv"
1426,84,1057,437,117,"eclipse","change-metrics.csv"
1723,81,1509,380,322,"eclipse","change-metrics.csv"
1332,77,1218,403,81,"eclipse","change-metrics.csv"
337,24,301,85,27,"eclipse","change-metrics.csv"
1169,113,993,162,31,"eclipse","change-metrics.csv"
1591,114,857,198,198,"eclipse","change-metrics.csv"
28,9,12,9,9,"eclipse","change-metrics.csv"
243,26,58,129,114,"eclipse","change-metrics.csv"
119,18,123,31,5,"eclipse","change-metrics.csv"
160,26,138,54,12,"eclipse","change-metrics.csv"
740,7,16,381,381,"eclipse","change-metrics.csv"
226,16,80,46,33,"eclipse","change-metrics.csv"
9,4,19,6,0,"eclipse","change-metrics.csv"
283,38,276,116,8,"eclipse","change-metrics.csv"
71,15,451,20,0,"eclipse","change-metrics.csv"
15,9,13,5,1,"eclipse","change-metrics.csv"
51,2,29,51,22,"eclipse","change-metrics.csv"
843,40,378,117,75,"eclipse","change-metrics.csv"
23,5,12,7,7,"eclipse","change-metrics.csv"
4436,92,1611,799,799,"eclipse","change-metrics.csv"
20,3,47,12,12,"eclipse","change-metrics.csv"
506,49,498,137,13,"eclipse","change-metrics.csv"
142,6,6,68,68,"eclipse","change-metrics.csv"
178,35,197,54,9,"eclipse","change-metrics.csv"
1549,80,1280,505,138,"eclipse","change-metrics.csv"
137,22,125,56,5,"eclipse","change-metrics.csv"
243,19,50,60,60,"eclipse","change-metrics.csv"
106,17,24,23,23,"eclipse","change-metrics.csv"
276,38,237,77,15,"eclipse","change-metrics.csv"
4093,91,2902,543,329,"eclipse","change-metrics.csv"
187,30,179,54,4,"eclipse","change-metrics.csv"
436,38,248,124,106,"eclipse","change-metrics.csv"
622,47,535,205,59,"eclipse","change-metrics.csv"
4,4,4,3,0,"eclipse","change-metrics.csv"
6,4,6,4,0,"eclipse","change-metrics.csv"
1117,79,963,282,52,"eclipse","change-metrics.csv"
812,35,141,197,197,"eclipse","change-metrics.csv"
106,17,24,23,23,"eclipse","change-metrics.csv"
247,39,140,63,33,"eclipse","change-metrics.csv"
513,37,322,235,83,"eclipse","change-metrics.csv"
149,31,153,28,14,"eclipse","change-metrics.csv"
108,6,6,51,51,"eclipse","change-metrics.csv"
526,38,315,195,91,"eclipse","change-metrics.csv"
271,18,132,100,60,"eclipse","change-metrics.csv"
100,12,12,44,44,"eclipse","change-metrics.csv"
122,15,35,42,42,"eclipse","change-metrics.csv"
298,25,271,84,27,"eclipse","change-metrics.csv"
902,79,844,235,57,"eclipse","change-metrics.csv"
6733,111,4555,874,446,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
79,17,77,32,5,"eclipse","change-metrics.csv"
147,20,112,40,14,"eclipse","change-metrics.csv"
336,36,236,136,26,"eclipse","change-metrics.csv"
611,59,655,103,42,"eclipse","change-metrics.csv"
785,46,377,183,121,"eclipse","change-metrics.csv"
160,29,145,60,8,"eclipse","change-metrics.csv"
169,39,151,49,8,"eclipse","change-metrics.csv"
3557,155,2821,272,156,"eclipse","change-metrics.csv"
259,25,270,106,7,"eclipse","change-metrics.csv"
160,24,167,67,6,"eclipse","change-metrics.csv"
112,17,120,48,4,"eclipse","change-metrics.csv"
161,21,178,72,5,"eclipse","change-metrics.csv"
2331,118,1959,412,128,"eclipse","change-metrics.csv"
256,32,253,81,22,"eclipse","change-metrics.csv"
183,32,150,57,19,"eclipse","change-metrics.csv"
52,11,40,12,6,"eclipse","change-metrics.csv"
3997,150,3783,567,114,"eclipse","change-metrics.csv"
777,73,674,178,41,"eclipse","change-metrics.csv"
515,47,429,168,60,"eclipse","change-metrics.csv"
506,22,625,120,12,"eclipse","change-metrics.csv"
1007,48,963,298,51,"eclipse","change-metrics.csv"
293,46,206,35,35,"eclipse","change-metrics.csv"
1930,68,1503,237,134,"eclipse","change-metrics.csv"
38598,709,34292,2955,336,"eclipse","change-metrics.csv"
221,30,211,85,19,"eclipse","change-metrics.csv"
101,14,100,50,5,"eclipse","change-metrics.csv"
960,41,1208,285,7,"eclipse","change-metrics.csv"
177,23,41,63,62,"eclipse","change-metrics.csv"
28,9,19,8,2,"eclipse","change-metrics.csv"
337,45,213,78,35,"eclipse","change-metrics.csv"
383,35,300,96,28,"eclipse","change-metrics.csv"
900,48,407,257,223,"eclipse","change-metrics.csv"
485,41,120,75,75,"eclipse","change-metrics.csv"
5807,46,6763,1581,147,"eclipse","change-metrics.csv"
830,46,431,189,91,"eclipse","change-metrics.csv"
80,4,22,40,29,"eclipse","change-metrics.csv"
1487,104,1299,369,39,"eclipse","change-metrics.csv"
192,33,180,67,9,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
3617,198,3066,488,100,"eclipse","change-metrics.csv"
633,51,580,170,48,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
334,31,361,147,6,"eclipse","change-metrics.csv"
65571,520,59724,7452,2768,"eclipse","change-metrics.csv"
1263,74,961,547,46,"eclipse","change-metrics.csv"
441,40,440,204,10,"eclipse","change-metrics.csv"
741,52,356,156,94,"eclipse","change-metrics.csv"
854,57,614,168,167,"eclipse","change-metrics.csv"
237,32,190,33,28,"eclipse","change-metrics.csv"
93,18,85,33,9,"eclipse","change-metrics.csv"
1082,56,889,225,109,"eclipse","change-metrics.csv"
223,10,254,73,29,"eclipse","change-metrics.csv"
244,25,216,83,38,"eclipse","change-metrics.csv"
302,39,312,73,13,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
2472,106,1233,179,123,"eclipse","change-metrics.csv"
11,2,3,11,8,"eclipse","change-metrics.csv"
99,17,62,22,14,"eclipse","change-metrics.csv"
1783,88,1339,180,160,"eclipse","change-metrics.csv"
643,32,92,183,183,"eclipse","change-metrics.csv"
136,26,136,55,6,"eclipse","change-metrics.csv"
153,25,71,36,23,"eclipse","change-metrics.csv"
7934,81,7679,1737,339,"eclipse","change-metrics.csv"
130,26,96,37,14,"eclipse","change-metrics.csv"
34,11,24,7,6,"eclipse","change-metrics.csv"
52,13,56,18,12,"eclipse","change-metrics.csv"
12,9,11,4,1,"eclipse","change-metrics.csv"
670,36,337,83,82,"eclipse","change-metrics.csv"
1946,99,856,315,315,"eclipse","change-metrics.csv"
671,55,668,184,22,"eclipse","change-metrics.csv"
0,2,0,0,0,"eclipse","change-metrics.csv"
957,35,276,285,285,"eclipse","change-metrics.csv"
478,17,487,226,9,"eclipse","change-metrics.csv"
25117,450,21204,1261,429,"eclipse","change-metrics.csv"
515,31,374,95,41,"eclipse","change-metrics.csv"
13,8,10,6,2,"eclipse","change-metrics.csv"
17,9,15,10,5,"eclipse","change-metrics.csv"
423,74,352,44,17,"eclipse","change-metrics.csv"
374,36,376,76,13,"eclipse","change-metrics.csv"
22297,479,16639,2482,459,"eclipse","change-metrics.csv"
26,12,15,5,5,"eclipse","change-metrics.csv"
13423,239,12995,873,103,"eclipse","change-metrics.csv"
344,21,560,131,9,"eclipse","change-metrics.csv"
253,35,236,66,9,"eclipse","change-metrics.csv"
39,6,37,36,2,"eclipse","change-metrics.csv"
6871,172,3179,959,836,"eclipse","change-metrics.csv"
282,22,305,92,4,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
544,39,270,138,89,"eclipse","change-metrics.csv"
64,18,51,25,6,"eclipse","change-metrics.csv"
58,2,16,58,42,"eclipse","change-metrics.csv"
28,9,29,9,0,"eclipse","change-metrics.csv"
637,31,629,155,9,"eclipse","change-metrics.csv"
480,46,826,224,16,"eclipse","change-metrics.csv"
926,63,829,258,35,"eclipse","change-metrics.csv"
6363,171,5607,924,156,"eclipse","change-metrics.csv"
328,30,321,143,15,"eclipse","change-metrics.csv"
203,15,53,74,74,"eclipse","change-metrics.csv"
243,34,245,47,19,"eclipse","change-metrics.csv"
26252,217,25827,5690,328,"eclipse","change-metrics.csv"
765,51,572,349,61,"eclipse","change-metrics.csv"
293,21,151,73,46,"eclipse","change-metrics.csv"
2876,29,4032,1767,428,"eclipse","change-metrics.csv"
209,35,195,27,14,"eclipse","change-metrics.csv"
168,30,165,30,9,"eclipse","change-metrics.csv"
373,54,550,95,13,"eclipse","change-metrics.csv"
36,12,10,7,7,"eclipse","change-metrics.csv"
32,9,26,11,6,"eclipse","change-metrics.csv"
18,14,18,4,0,"eclipse","change-metrics.csv"
297,15,31,131,131,"eclipse","change-metrics.csv"
192,21,52,37,36,"eclipse","change-metrics.csv"
19,14,40,4,1,"eclipse","change-metrics.csv"
152,10,14,67,67,"eclipse","change-metrics.csv"
9,2,0,9,9,"eclipse","change-metrics.csv"
55,16,51,9,4,"eclipse","change-metrics.csv"
151,16,174,39,39,"eclipse","change-metrics.csv"
326,44,306,98,11,"eclipse","change-metrics.csv"
275,41,318,107,24,"eclipse","change-metrics.csv"
1,3,1,1,0,"eclipse","change-metrics.csv"
536,38,345,253,83,"eclipse","change-metrics.csv"
138,15,31,90,86,"eclipse","change-metrics.csv"
1654,56,2240,573,14,"eclipse","change-metrics.csv"
409,21,49,125,125,"eclipse","change-metrics.csv"
4,2,4,4,0,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
119,18,40,24,24,"eclipse","change-metrics.csv"
631,41,379,227,90,"eclipse","change-metrics.csv"
490,48,539,54,52,"eclipse","change-metrics.csv"
1212,93,1158,205,18,"eclipse","change-metrics.csv"
43,11,44,27,1,"eclipse","change-metrics.csv"
3119,116,2283,686,190,"eclipse","change-metrics.csv"
20,9,16,4,2,"eclipse","change-metrics.csv"
231,30,312,120,8,"eclipse","change-metrics.csv"
46,6,3,17,14,"eclipse","change-metrics.csv"
346,38,237,68,59,"eclipse","change-metrics.csv"
242,31,238,95,9,"eclipse","change-metrics.csv"
29,8,18,7,7,"eclipse","change-metrics.csv"
864,60,586,247,48,"eclipse","change-metrics.csv"
9461,167,8615,891,184,"eclipse","change-metrics.csv"
240,15,238,204,3,"eclipse","change-metrics.csv"
11,7,18,4,1,"eclipse","change-metrics.csv"
555,22,64,179,179,"eclipse","change-metrics.csv"
380,40,235,151,59,"eclipse","change-metrics.csv"
4604,124,4049,1294,170,"eclipse","change-metrics.csv"
344,37,199,128,59,"eclipse","change-metrics.csv"
7,6,7,4,0,"eclipse","change-metrics.csv"
1022,72,1141,167,19,"eclipse","change-metrics.csv"
947,73,932,197,39,"eclipse","change-metrics.csv"
7314,155,2435,1614,1581,"eclipse","change-metrics.csv"
112,26,101,23,8,"eclipse","change-metrics.csv"
551,53,517,146,14,"eclipse","change-metrics.csv"
11,7,7,5,4,"eclipse","change-metrics.csv"
578,65,318,75,27,"eclipse","change-metrics.csv"
49,15,114,9,2,"eclipse","change-metrics.csv"
2,3,8,1,0,"eclipse","change-metrics.csv"
523,43,524,180,26,"eclipse","change-metrics.csv"
1440,63,844,111,111,"eclipse","change-metrics.csv"
3880,181,3657,684,215,"eclipse","change-metrics.csv"
466,47,486,184,8,"eclipse","change-metrics.csv"
35,8,41,27,11,"eclipse","change-metrics.csv"
374,23,46,98,98,"eclipse","change-metrics.csv"
2965,82,2913,334,98,"eclipse","change-metrics.csv"
170,28,168,58,6,"eclipse","change-metrics.csv"
16606,459,11374,1450,585,"eclipse","change-metrics.csv"
662,45,802,164,20,"eclipse","change-metrics.csv"
162,26,172,25,21,"eclipse","change-metrics.csv"
1134,101,1072,223,19,"eclipse","change-metrics.csv"
1524,65,832,259,196,"eclipse","change-metrics.csv"
278,39,275,63,10,"eclipse","change-metrics.csv"
215,21,213,75,11,"eclipse","change-metrics.csv"
267,25,241,71,28,"eclipse","change-metrics.csv"
47,7,47,20,8,"eclipse","change-metrics.csv"
127,4,1,70,70,"eclipse","change-metrics.csv"
2740,73,2537,254,57,"eclipse","change-metrics.csv"
25,14,18,4,3,"eclipse","change-metrics.csv"
0,1,0,0,0,"eclipse","change-metrics.csv"
150,11,156,48,21,"eclipse","change-metrics.csv"
243,26,99,56,55,"eclipse","change-metrics.csv"
115,14,405,48,4,"eclipse","change-metrics.csv"
520,50,307,174,75,"eclipse","change-metrics.csv"
654,40,324,164,77,"eclipse","change-metrics.csv"
55,14,29,13,9,"eclipse","change-metrics.csv"
2290,165,1878,594,70,"eclipse","change-metrics.csv"
27,9,18,15,9,"eclipse","change-metrics.csv"
196,17,126,93,60,"eclipse","change-metrics.csv"
226,6,6,110,110,"eclipse","change-metrics.csv"
5,4,5,3,0,"eclipse","change-metrics.csv"
912,75,887,141,20,"eclipse","change-metrics.csv"
5,3,5,4,0,"eclipse","change-metrics.csv"
27,7,26,10,1,"eclipse","change-metrics.csv"
4847,291,4041,924,406,"eclipse","change-metrics.csv"
1300,72,1296,434,128,"eclipse","change-metrics.csv"
4,2,4,4,0,"eclipse","change-metrics.csv"
3730,131,3780,879,61,"eclipse","change-metrics.csv"
539,39,570,229,5,"eclipse","change-metrics.csv"
12,6,3,9,9,"eclipse","change-metrics.csv"
254,35,180,66,33,"eclipse","change-metrics.csv"
203,20,64,69,69,"eclipse","change-metrics.csv"
674,56,302,145,115,"eclipse","change-metrics.csv"
226,26,232,101,6,"eclipse","change-metrics.csv"
3649,113,2677,1009,271,"eclipse","change-metrics.csv"
261,48,217,67,10,"eclipse","change-metrics.csv"
111,17,105,54,6,"eclipse","change-metrics.csv"
140,30,112,47,7,"eclipse","change-metrics.csv"
344,48,318,95,12,"eclipse","change-metrics.csv"
699,47,324,97,68,"eclipse","change-metrics.csv"
287,47,313,72,6,"eclipse","change-metrics.csv"
184,25,181,63,6,"eclipse","change-metrics.csv"
984,39,197,257,257,"eclipse","change-metrics.csv"
503,68,439,47,40,"eclipse","change-metrics.csv"
450,61,285,77,35,"eclipse","change-metrics.csv"
6311,189,4457,991,123,"eclipse","change-metrics.csv"
287,34,221,92,54,"eclipse","change-metrics.csv"
6,4,6,4,0,"eclipse","change-metrics.csv"
2,3,2,1,0,"eclipse","change-metrics.csv"
11,4,1,10,10,"eclipse","change-metrics.csv"
667,35,99,198,198,"eclipse","change-metrics.csv"
863,71,560,149,96,"eclipse","change-metrics.csv"
28,7,72,15,15,"eclipse","change-metrics.csv"
242,19,199,65,45,"eclipse","change-metrics.csv"
2802,143,1959,441,136,"eclipse","change-metrics.csv"
2134,113,1731,553,93,"eclipse","change-metrics.csv"
921,72,394,208,208,"eclipse","change-metrics.csv"
25,4,2,16,14,"eclipse","change-metrics.csv"
160,33,114,35,17,"eclipse","change-metrics.csv"
402,44,309,70,51,"eclipse","change-metrics.csv"
3899,178,2892,491,220,"eclipse","change-metrics.csv"
756,67,381,160,160,"eclipse","change-metrics.csv"
784,50,448,172,141,"eclipse","change-metrics.csv"
2389,149,1947,507,152,"eclipse","change-metrics.csv"
106,18,26,23,23,"eclipse","change-metrics.csv"
105,22,88,32,11,"eclipse","change-metrics.csv"
4282,71,3119,1609,894,"eclipse","change-metrics.csv"
35,15,51,9,0,"eclipse","change-metrics.csv"
168,28,159,59,6,"eclipse","change-metrics.csv"
1096,65,858,168,43,"eclipse","change-metrics.csv"
81,19,76,25,11,"eclipse","change-metrics.csv"
2498,86,2331,707,129,"eclipse","change-metrics.csv"
124,18,125,32,5,"eclipse","change-metrics.csv"
1977,64,2315,763,20,"eclipse","change-metrics.csv"
136,26,136,52,6,"eclipse","change-metrics.csv"
1017,58,1267,246,45,"eclipse","change-metrics.csv"
322,35,156,48,47,"eclipse","change-metrics.csv"
690,34,319,119,89,"eclipse","change-metrics.csv"
32,3,3,27,26,"eclipse","change-metrics.csv"
2071,51,224,317,315,"eclipse","change-metrics.csv"
