"wmc","numberOfLinesOfCode","fanOut","rfc","cbo","directory","k"
13,44,7,28,8,"eclipse","single-version-ck-oo.csv"
121,480,39,258,42,"eclipse","single-version-ck-oo.csv"
20,127,2,24,3,"eclipse","single-version-ck-oo.csv"
14,50,7,28,7,"eclipse","single-version-ck-oo.csv"
396,1340,27,567,46,"eclipse","single-version-ck-oo.csv"
12,50,5,28,6,"eclipse","single-version-ck-oo.csv"
12,40,1,14,1,"eclipse","single-version-ck-oo.csv"
55,251,20,82,21,"eclipse","single-version-ck-oo.csv"
1,3,0,2,1,"eclipse","single-version-ck-oo.csv"
4,29,1,11,2,"eclipse","single-version-ck-oo.csv"
9,28,1,16,4,"eclipse","single-version-ck-oo.csv"
4,13,0,5,1,"eclipse","single-version-ck-oo.csv"
12,62,5,21,8,"eclipse","single-version-ck-oo.csv"
138,1200,24,308,25,"eclipse","single-version-ck-oo.csv"
4,15,0,7,2,"eclipse","single-version-ck-oo.csv"
18,55,1,26,2,"eclipse","single-version-ck-oo.csv"
73,1520,1,63,5,"eclipse","single-version-ck-oo.csv"
2,6,1,3,1,"eclipse","single-version-ck-oo.csv"
2,7,0,3,5,"eclipse","single-version-ck-oo.csv"
27,110,6,59,6,"eclipse","single-version-ck-oo.csv"
99,525,38,252,40,"eclipse","single-version-ck-oo.csv"
17,66,7,29,9,"eclipse","single-version-ck-oo.csv"
66,269,14,89,15,"eclipse","single-version-ck-oo.csv"
426,1399,7,329,13,"eclipse","single-version-ck-oo.csv"
6,23,1,8,3,"eclipse","single-version-ck-oo.csv"
53,134,6,52,23,"eclipse","single-version-ck-oo.csv"
51,192,9,86,17,"eclipse","single-version-ck-oo.csv"
14,52,1,28,2,"eclipse","single-version-ck-oo.csv"
159,629,15,263,18,"eclipse","single-version-ck-oo.csv"
10,28,6,14,7,"eclipse","single-version-ck-oo.csv"
11,35,3,15,29,"eclipse","single-version-ck-oo.csv"
19,152,13,67,15,"eclipse","single-version-ck-oo.csv"
15,52,2,21,12,"eclipse","single-version-ck-oo.csv"
344,1607,50,664,94,"eclipse","single-version-ck-oo.csv"
36,139,9,47,13,"eclipse","single-version-ck-oo.csv"
117,343,22,107,22,"eclipse","single-version-ck-oo.csv"
89,286,11,120,15,"eclipse","single-version-ck-oo.csv"
27,107,4,53,5,"eclipse","single-version-ck-oo.csv"
4,14,2,12,3,"eclipse","single-version-ck-oo.csv"
17,64,10,38,12,"eclipse","single-version-ck-oo.csv"
62,275,5,83,6,"eclipse","single-version-ck-oo.csv"
27,57,5,16,5,"eclipse","single-version-ck-oo.csv"
4,15,2,7,4,"eclipse","single-version-ck-oo.csv"
13,26,3,8,3,"eclipse","single-version-ck-oo.csv"
23,76,4,39,4,"eclipse","single-version-ck-oo.csv"
54,269,7,106,12,"eclipse","single-version-ck-oo.csv"
30,117,2,24,3,"eclipse","single-version-ck-oo.csv"
15,49,5,17,5,"eclipse","single-version-ck-oo.csv"
229,1189,46,265,49,"eclipse","single-version-ck-oo.csv"
7,21,3,12,8,"eclipse","single-version-ck-oo.csv"
20,56,2,17,3,"eclipse","single-version-ck-oo.csv"
3,11,1,4,2,"eclipse","single-version-ck-oo.csv"
15,58,7,28,10,"eclipse","single-version-ck-oo.csv"
75,336,14,132,15,"eclipse","single-version-ck-oo.csv"
7,28,1,12,5,"eclipse","single-version-ck-oo.csv"
1,3,0,2,1,"eclipse","single-version-ck-oo.csv"
8,23,2,16,2,"eclipse","single-version-ck-oo.csv"
54,172,3,43,17,"eclipse","single-version-ck-oo.csv"
13,35,3,17,4,"eclipse","single-version-ck-oo.csv"
22,126,8,56,15,"eclipse","single-version-ck-oo.csv"
6,16,2,7,4,"eclipse","single-version-ck-oo.csv"
53,174,10,74,12,"eclipse","single-version-ck-oo.csv"
55,163,1,17,10,"eclipse","single-version-ck-oo.csv"
21,80,3,43,7,"eclipse","single-version-ck-oo.csv"
5,22,2,6,3,"eclipse","single-version-ck-oo.csv"
19,52,8,34,8,"eclipse","single-version-ck-oo.csv"
182,804,93,347,108,"eclipse","single-version-ck-oo.csv"
86,321,10,66,11,"eclipse","single-version-ck-oo.csv"
2,10,1,3,2,"eclipse","single-version-ck-oo.csv"
33,118,5,31,6,"eclipse","single-version-ck-oo.csv"
47,128,6,20,6,"eclipse","single-version-ck-oo.csv"
26,79,2,17,4,"eclipse","single-version-ck-oo.csv"
18,72,9,37,10,"eclipse","single-version-ck-oo.csv"
20,97,4,42,5,"eclipse","single-version-ck-oo.csv"
10,35,2,10,11,"eclipse","single-version-ck-oo.csv"
2,8,0,2,1,"eclipse","single-version-ck-oo.csv"
8,29,2,15,2,"eclipse","single-version-ck-oo.csv"
29,63,3,30,5,"eclipse","single-version-ck-oo.csv"
13,41,1,10,2,"eclipse","single-version-ck-oo.csv"
8,29,4,14,5,"eclipse","single-version-ck-oo.csv"
14,54,8,37,15,"eclipse","single-version-ck-oo.csv"
18,117,4,34,4,"eclipse","single-version-ck-oo.csv"
1,5,0,1,1,"eclipse","single-version-ck-oo.csv"
7,19,0,7,7,"eclipse","single-version-ck-oo.csv"
41,144,4,37,12,"eclipse","single-version-ck-oo.csv"
0,0,0,1,1,"eclipse","single-version-ck-oo.csv"
27,106,4,51,4,"eclipse","single-version-ck-oo.csv"
33,157,9,57,10,"eclipse","single-version-ck-oo.csv"
44,169,0,45,1,"eclipse","single-version-ck-oo.csv"
63,190,23,100,24,"eclipse","single-version-ck-oo.csv"
6,23,1,8,3,"eclipse","single-version-ck-oo.csv"
9,37,7,20,8,"eclipse","single-version-ck-oo.csv"
16,59,8,31,10,"eclipse","single-version-ck-oo.csv"
4,13,2,12,3,"eclipse","single-version-ck-oo.csv"
23,60,6,27,10,"eclipse","single-version-ck-oo.csv"
4,15,4,9,5,"eclipse","single-version-ck-oo.csv"
8,26,2,10,3,"eclipse","single-version-ck-oo.csv"
66,189,6,81,12,"eclipse","single-version-ck-oo.csv"
12,55,1,21,3,"eclipse","single-version-ck-oo.csv"
75,312,3,18,7,"eclipse","single-version-ck-oo.csv"
13,42,2,18,12,"eclipse","single-version-ck-oo.csv"
27,126,16,83,20,"eclipse","single-version-ck-oo.csv"
5,22,2,6,5,"eclipse","single-version-ck-oo.csv"
37,143,2,39,3,"eclipse","single-version-ck-oo.csv"
69,219,8,109,19,"eclipse","single-version-ck-oo.csv"
5,27,0,6,5,"eclipse","single-version-ck-oo.csv"
6,18,0,10,91,"eclipse","single-version-ck-oo.csv"
27,106,5,53,6,"eclipse","single-version-ck-oo.csv"
25,99,5,44,9,"eclipse","single-version-ck-oo.csv"
22,89,3,43,8,"eclipse","single-version-ck-oo.csv"
6,21,5,14,6,"eclipse","single-version-ck-oo.csv"
7,28,0,8,1,"eclipse","single-version-ck-oo.csv"
47,185,19,86,22,"eclipse","single-version-ck-oo.csv"
1680,7341,71,2390,75,"eclipse","single-version-ck-oo.csv"
134,784,23,256,26,"eclipse","single-version-ck-oo.csv"
105,412,13,81,13,"eclipse","single-version-ck-oo.csv"
26,108,6,49,18,"eclipse","single-version-ck-oo.csv"
8,36,4,12,5,"eclipse","single-version-ck-oo.csv"
308,840,12,290,102,"eclipse","single-version-ck-oo.csv"
42,158,4,74,5,"eclipse","single-version-ck-oo.csv"
18,56,1,26,2,"eclipse","single-version-ck-oo.csv"
22,71,1,11,3,"eclipse","single-version-ck-oo.csv"
3,12,1,7,5,"eclipse","single-version-ck-oo.csv"
316,1248,17,405,18,"eclipse","single-version-ck-oo.csv"
6,25,2,7,4,"eclipse","single-version-ck-oo.csv"
20,92,11,34,11,"eclipse","single-version-ck-oo.csv"
18,67,3,41,4,"eclipse","single-version-ck-oo.csv"
9,31,2,19,4,"eclipse","single-version-ck-oo.csv"
14,43,1,11,2,"eclipse","single-version-ck-oo.csv"
33,128,13,54,14,"eclipse","single-version-ck-oo.csv"
3,10,1,5,2,"eclipse","single-version-ck-oo.csv"
10,41,3,17,4,"eclipse","single-version-ck-oo.csv"
5,15,0,7,0,"eclipse","single-version-ck-oo.csv"
112,354,14,163,16,"eclipse","single-version-ck-oo.csv"
18,68,11,41,11,"eclipse","single-version-ck-oo.csv"
100,337,15,119,19,"eclipse","single-version-ck-oo.csv"
78,299,9,51,11,"eclipse","single-version-ck-oo.csv"
5,15,0,5,2,"eclipse","single-version-ck-oo.csv"
117,423,4,241,6,"eclipse","single-version-ck-oo.csv"
28,96,2,43,9,"eclipse","single-version-ck-oo.csv"
0,0,0,5,6,"eclipse","single-version-ck-oo.csv"
40,123,12,53,13,"eclipse","single-version-ck-oo.csv"
171,639,36,248,39,"eclipse","single-version-ck-oo.csv"
9,32,1,13,1,"eclipse","single-version-ck-oo.csv"
8,27,3,14,5,"eclipse","single-version-ck-oo.csv"
25,78,2,21,9,"eclipse","single-version-ck-oo.csv"
14,53,3,30,6,"eclipse","single-version-ck-oo.csv"
37,105,11,55,20,"eclipse","single-version-ck-oo.csv"
53,226,9,87,10,"eclipse","single-version-ck-oo.csv"
4,15,3,8,4,"eclipse","single-version-ck-oo.csv"
5,15,2,13,2,"eclipse","single-version-ck-oo.csv"
15,80,8,29,14,"eclipse","single-version-ck-oo.csv"
38,124,21,78,21,"eclipse","single-version-ck-oo.csv"
25,158,12,70,13,"eclipse","single-version-ck-oo.csv"
10,28,2,13,3,"eclipse","single-version-ck-oo.csv"
16,62,6,33,7,"eclipse","single-version-ck-oo.csv"
19,63,9,30,22,"eclipse","single-version-ck-oo.csv"
34,127,5,31,8,"eclipse","single-version-ck-oo.csv"
58,253,13,73,14,"eclipse","single-version-ck-oo.csv"
69,261,4,56,5,"eclipse","single-version-ck-oo.csv"
34,95,1,48,19,"eclipse","single-version-ck-oo.csv"
14,57,11,31,13,"eclipse","single-version-ck-oo.csv"
1,3,0,1,5,"eclipse","single-version-ck-oo.csv"
131,485,5,169,16,"eclipse","single-version-ck-oo.csv"
27,106,5,53,7,"eclipse","single-version-ck-oo.csv"
27,106,4,51,5,"eclipse","single-version-ck-oo.csv"
12,38,0,14,4,"eclipse","single-version-ck-oo.csv"
49,186,12,100,20,"eclipse","single-version-ck-oo.csv"
392,974,6,287,33,"eclipse","single-version-ck-oo.csv"
7,36,3,18,4,"eclipse","single-version-ck-oo.csv"
52,136,2,34,37,"eclipse","single-version-ck-oo.csv"
46,146,5,34,6,"eclipse","single-version-ck-oo.csv"
197,781,31,346,33,"eclipse","single-version-ck-oo.csv"
37,136,6,69,11,"eclipse","single-version-ck-oo.csv"
6,26,1,11,4,"eclipse","single-version-ck-oo.csv"
56,152,11,76,15,"eclipse","single-version-ck-oo.csv"
283,1119,28,493,34,"eclipse","single-version-ck-oo.csv"
256,866,20,296,35,"eclipse","single-version-ck-oo.csv"
6,26,4,16,5,"eclipse","single-version-ck-oo.csv"
13,56,7,23,8,"eclipse","single-version-ck-oo.csv"
29,99,5,34,8,"eclipse","single-version-ck-oo.csv"
5,31,0,4,1,"eclipse","single-version-ck-oo.csv"
3,21,7,28,7,"eclipse","single-version-ck-oo.csv"
56,306,4,222,4,"eclipse","single-version-ck-oo.csv"
36,142,11,85,19,"eclipse","single-version-ck-oo.csv"
35,121,4,72,7,"eclipse","single-version-ck-oo.csv"
33,132,3,62,4,"eclipse","single-version-ck-oo.csv"
9,31,1,18,2,"eclipse","single-version-ck-oo.csv"
132,505,29,225,102,"eclipse","single-version-ck-oo.csv"
33,149,5,78,10,"eclipse","single-version-ck-oo.csv"
14,41,4,24,5,"eclipse","single-version-ck-oo.csv"
13,45,2,27,4,"eclipse","single-version-ck-oo.csv"
2,7,0,3,3,"eclipse","single-version-ck-oo.csv"
4,21,1,8,1,"eclipse","single-version-ck-oo.csv"
2,6,0,2,0,"eclipse","single-version-ck-oo.csv"
2,6,0,4,1,"eclipse","single-version-ck-oo.csv"
95,314,18,111,48,"eclipse","single-version-ck-oo.csv"
2,6,1,3,7,"eclipse","single-version-ck-oo.csv"
22,77,12,45,14,"eclipse","single-version-ck-oo.csv"
18,56,1,26,2,"eclipse","single-version-ck-oo.csv"
6,25,3,17,4,"eclipse","single-version-ck-oo.csv"
107,356,13,181,14,"eclipse","single-version-ck-oo.csv"
39,200,12,88,12,"eclipse","single-version-ck-oo.csv"
6,38,6,25,7,"eclipse","single-version-ck-oo.csv"
10,37,3,11,4,"eclipse","single-version-ck-oo.csv"
2,6,0,3,0,"eclipse","single-version-ck-oo.csv"
41,145,1,45,2,"eclipse","single-version-ck-oo.csv"
58,154,6,46,8,"eclipse","single-version-ck-oo.csv"
124,402,25,178,26,"eclipse","single-version-ck-oo.csv"
138,431,14,139,25,"eclipse","single-version-ck-oo.csv"
29,149,18,77,18,"eclipse","single-version-ck-oo.csv"
468,2116,44,794,44,"eclipse","single-version-ck-oo.csv"
82,303,8,151,10,"eclipse","single-version-ck-oo.csv"
63,329,13,108,16,"eclipse","single-version-ck-oo.csv"
40,156,6,73,10,"eclipse","single-version-ck-oo.csv"
7,28,1,12,2,"eclipse","single-version-ck-oo.csv"
45,311,2,15,4,"eclipse","single-version-ck-oo.csv"
37,115,7,22,17,"eclipse","single-version-ck-oo.csv"
6,23,1,9,3,"eclipse","single-version-ck-oo.csv"
22,66,0,22,0,"eclipse","single-version-ck-oo.csv"
155,648,29,138,31,"eclipse","single-version-ck-oo.csv"
16,57,2,25,4,"eclipse","single-version-ck-oo.csv"
43,170,8,88,9,"eclipse","single-version-ck-oo.csv"
55,246,12,53,14,"eclipse","single-version-ck-oo.csv"
10,37,3,13,5,"eclipse","single-version-ck-oo.csv"
13,44,1,19,4,"eclipse","single-version-ck-oo.csv"
11,44,4,19,5,"eclipse","single-version-ck-oo.csv"
22,95,6,29,7,"eclipse","single-version-ck-oo.csv"
17,49,5,24,5,"eclipse","single-version-ck-oo.csv"
1,4,0,1,2,"eclipse","single-version-ck-oo.csv"
6,27,4,17,5,"eclipse","single-version-ck-oo.csv"
38,142,3,59,3,"eclipse","single-version-ck-oo.csv"
44,233,4,60,8,"eclipse","single-version-ck-oo.csv"
9,34,2,13,7,"eclipse","single-version-ck-oo.csv"
25,92,8,39,9,"eclipse","single-version-ck-oo.csv"
8,27,2,8,4,"eclipse","single-version-ck-oo.csv"
36,94,1,23,2,"eclipse","single-version-ck-oo.csv"
1,3,0,1,1,"eclipse","single-version-ck-oo.csv"
102,409,12,74,13,"eclipse","single-version-ck-oo.csv"
64,180,6,56,8,"eclipse","single-version-ck-oo.csv"
29,195,14,77,14,"eclipse","single-version-ck-oo.csv"
7,54,5,14,8,"eclipse","single-version-ck-oo.csv"
77,221,16,89,20,"eclipse","single-version-ck-oo.csv"
117,333,9,101,25,"eclipse","single-version-ck-oo.csv"
4,12,0,2,1,"eclipse","single-version-ck-oo.csv"
1,3,0,2,1,"eclipse","single-version-ck-oo.csv"
3,12,0,3,0,"eclipse","single-version-ck-oo.csv"
8,32,2,16,3,"eclipse","single-version-ck-oo.csv"
67,316,16,105,24,"eclipse","single-version-ck-oo.csv"
41,128,7,78,8,"eclipse","single-version-ck-oo.csv"
3,10,1,5,3,"eclipse","single-version-ck-oo.csv"
17,59,10,27,12,"eclipse","single-version-ck-oo.csv"
20,78,1,39,2,"eclipse","single-version-ck-oo.csv"
1,3,0,1,2,"eclipse","single-version-ck-oo.csv"
33,153,8,25,9,"eclipse","single-version-ck-oo.csv"
34,111,1,38,11,"eclipse","single-version-ck-oo.csv"
3,11,3,9,7,"eclipse","single-version-ck-oo.csv"
276,1117,20,294,20,"eclipse","single-version-ck-oo.csv"
9,32,2,13,3,"eclipse","single-version-ck-oo.csv"
25,101,8,40,9,"eclipse","single-version-ck-oo.csv"
5,22,2,6,3,"eclipse","single-version-ck-oo.csv"
13,40,0,14,4,"eclipse","single-version-ck-oo.csv"
139,468,10,81,13,"eclipse","single-version-ck-oo.csv"
1,10,2,5,3,"eclipse","single-version-ck-oo.csv"
30,79,0,20,2,"eclipse","single-version-ck-oo.csv"
1,3,0,1,2,"eclipse","single-version-ck-oo.csv"
15,59,5,24,6,"eclipse","single-version-ck-oo.csv"
179,799,14,289,15,"eclipse","single-version-ck-oo.csv"
9,30,1,13,2,"eclipse","single-version-ck-oo.csv"
87,222,11,71,11,"eclipse","single-version-ck-oo.csv"
34,158,7,34,7,"eclipse","single-version-ck-oo.csv"
1,10,0,5,3,"eclipse","single-version-ck-oo.csv"
0,0,0,1,2,"eclipse","single-version-ck-oo.csv"
83,311,15,118,16,"eclipse","single-version-ck-oo.csv"
30,118,7,63,8,"eclipse","single-version-ck-oo.csv"
1,3,0,1,1,"eclipse","single-version-ck-oo.csv"
19,63,1,24,3,"eclipse","single-version-ck-oo.csv"
25,96,3,48,4,"eclipse","single-version-ck-oo.csv"
7,24,3,13,4,"eclipse","single-version-ck-oo.csv"
2,7,1,3,2,"eclipse","single-version-ck-oo.csv"
27,108,5,59,7,"eclipse","single-version-ck-oo.csv"
5,15,2,19,8,"eclipse","single-version-ck-oo.csv"
4,22,2,9,3,"eclipse","single-version-ck-oo.csv"
5,16,0,6,2,"eclipse","single-version-ck-oo.csv"
16,85,4,16,4,"eclipse","single-version-ck-oo.csv"
40,232,11,85,12,"eclipse","single-version-ck-oo.csv"
480,2140,1,281,4,"eclipse","single-version-ck-oo.csv"
11,51,3,18,6,"eclipse","single-version-ck-oo.csv"
2,6,0,2,0,"eclipse","single-version-ck-oo.csv"
14,51,3,20,4,"eclipse","single-version-ck-oo.csv"
10,48,4,17,26,"eclipse","single-version-ck-oo.csv"
21,99,8,38,35,"eclipse","single-version-ck-oo.csv"
31,121,5,61,9,"eclipse","single-version-ck-oo.csv"
9,23,2,11,3,"eclipse","single-version-ck-oo.csv"
11,30,3,15,4,"eclipse","single-version-ck-oo.csv"
60,282,28,106,29,"eclipse","single-version-ck-oo.csv"
23,78,3,24,5,"eclipse","single-version-ck-oo.csv"
11,38,2,14,2,"eclipse","single-version-ck-oo.csv"
5,15,1,6,4,"eclipse","single-version-ck-oo.csv"
4,12,0,6,3,"eclipse","single-version-ck-oo.csv"
141,445,13,142,13,"eclipse","single-version-ck-oo.csv"
8,38,7,22,7,"eclipse","single-version-ck-oo.csv"
14,38,3,16,4,"eclipse","single-version-ck-oo.csv"
8,28,3,11,4,"eclipse","single-version-ck-oo.csv"
168,547,18,197,20,"eclipse","single-version-ck-oo.csv"
31,141,13,66,13,"eclipse","single-version-ck-oo.csv"
56,186,7,36,7,"eclipse","single-version-ck-oo.csv"
20,128,9,59,11,"eclipse","single-version-ck-oo.csv"
56,193,6,54,17,"eclipse","single-version-ck-oo.csv"
49,142,12,65,13,"eclipse","single-version-ck-oo.csv"
112,392,8,133,13,"eclipse","single-version-ck-oo.csv"
217,1058,40,413,58,"eclipse","single-version-ck-oo.csv"
258,1081,12,352,13,"eclipse","single-version-ck-oo.csv"
5,17,1,10,2,"eclipse","single-version-ck-oo.csv"
14,67,3,15,15,"eclipse","single-version-ck-oo.csv"
17,63,2,32,4,"eclipse","single-version-ck-oo.csv"
34,123,5,26,6,"eclipse","single-version-ck-oo.csv"
23,81,13,59,14,"eclipse","single-version-ck-oo.csv"
53,193,5,34,9,"eclipse","single-version-ck-oo.csv"
113,638,15,220,16,"eclipse","single-version-ck-oo.csv"
60,189,10,78,18,"eclipse","single-version-ck-oo.csv"
898,1500,13,2062,47,"eclipse","single-version-ck-oo.csv"
38,137,5,72,6,"eclipse","single-version-ck-oo.csv"
7,33,3,9,4,"eclipse","single-version-ck-oo.csv"
103,356,25,179,30,"eclipse","single-version-ck-oo.csv"
10,38,5,22,7,"eclipse","single-version-ck-oo.csv"
15,35,2,16,5,"eclipse","single-version-ck-oo.csv"
172,644,38,285,46,"eclipse","single-version-ck-oo.csv"
27,127,11,77,12,"eclipse","single-version-ck-oo.csv"
2,7,0,3,2,"eclipse","single-version-ck-oo.csv"
35,110,6,25,6,"eclipse","single-version-ck-oo.csv"
0,0,0,0,0,"eclipse","single-version-ck-oo.csv"
142,560,16,246,20,"eclipse","single-version-ck-oo.csv"
20,144,9,49,9,"eclipse","single-version-ck-oo.csv"
31,123,6,60,7,"eclipse","single-version-ck-oo.csv"
37,155,9,77,10,"eclipse","single-version-ck-oo.csv"
31,140,16,55,17,"eclipse","single-version-ck-oo.csv"
1,3,0,1,0,"eclipse","single-version-ck-oo.csv"
48,240,18,109,19,"eclipse","single-version-ck-oo.csv"
7,23,4,25,5,"eclipse","single-version-ck-oo.csv"
12,44,10,27,11,"eclipse","single-version-ck-oo.csv"
12,50,4,18,6,"eclipse","single-version-ck-oo.csv"
15,48,7,31,7,"eclipse","single-version-ck-oo.csv"
291,747,13,249,13,"eclipse","single-version-ck-oo.csv"
10,42,0,2,2,"eclipse","single-version-ck-oo.csv"
18,64,7,39,10,"eclipse","single-version-ck-oo.csv"
75,370,10,110,12,"eclipse","single-version-ck-oo.csv"
28,109,5,56,5,"eclipse","single-version-ck-oo.csv"
4,12,1,7,2,"eclipse","single-version-ck-oo.csv"
33,141,18,78,20,"eclipse","single-version-ck-oo.csv"
418,1782,13,498,17,"eclipse","single-version-ck-oo.csv"
6,18,2,13,6,"eclipse","single-version-ck-oo.csv"
7,26,2,12,4,"eclipse","single-version-ck-oo.csv"
8,41,8,29,8,"eclipse","single-version-ck-oo.csv"
6,18,2,6,6,"eclipse","single-version-ck-oo.csv"
52,155,3,59,5,"eclipse","single-version-ck-oo.csv"
150,533,10,143,15,"eclipse","single-version-ck-oo.csv"
38,142,7,44,8,"eclipse","single-version-ck-oo.csv"
4,13,2,8,2,"eclipse","single-version-ck-oo.csv"
35,141,7,70,7,"eclipse","single-version-ck-oo.csv"
27,105,0,40,1,"eclipse","single-version-ck-oo.csv"
972,2877,30,836,144,"eclipse","single-version-ck-oo.csv"
1,3,0,3,1,"eclipse","single-version-ck-oo.csv"
1,4,1,2,2,"eclipse","single-version-ck-oo.csv"
4,15,2,6,2,"eclipse","single-version-ck-oo.csv"
8,57,6,17,7,"eclipse","single-version-ck-oo.csv"
10,39,3,16,3,"eclipse","single-version-ck-oo.csv"
1033,6571,36,2603,156,"eclipse","single-version-ck-oo.csv"
7,23,0,12,1,"eclipse","single-version-ck-oo.csv"
310,1091,25,362,34,"eclipse","single-version-ck-oo.csv"
3,12,0,8,3,"eclipse","single-version-ck-oo.csv"
9,39,2,13,2,"eclipse","single-version-ck-oo.csv"
74,222,8,47,9,"eclipse","single-version-ck-oo.csv"
764,3184,23,752,27,"eclipse","single-version-ck-oo.csv"
6,18,0,6,8,"eclipse","single-version-ck-oo.csv"
3,10,1,5,3,"eclipse","single-version-ck-oo.csv"
8,30,4,20,7,"eclipse","single-version-ck-oo.csv"
1,3,0,1,4,"eclipse","single-version-ck-oo.csv"
39,184,9,36,16,"eclipse","single-version-ck-oo.csv"
10,38,3,15,4,"eclipse","single-version-ck-oo.csv"
36,94,1,24,2,"eclipse","single-version-ck-oo.csv"
37,149,7,54,20,"eclipse","single-version-ck-oo.csv"
67,235,7,82,8,"eclipse","single-version-ck-oo.csv"
331,986,22,334,24,"eclipse","single-version-ck-oo.csv"
17,72,2,32,3,"eclipse","single-version-ck-oo.csv"
7,43,4,15,5,"eclipse","single-version-ck-oo.csv"
11,43,11,25,12,"eclipse","single-version-ck-oo.csv"
1542,6017,25,1603,86,"eclipse","single-version-ck-oo.csv"
41,166,5,76,6,"eclipse","single-version-ck-oo.csv"
53,231,13,74,14,"eclipse","single-version-ck-oo.csv"
92,395,12,170,15,"eclipse","single-version-ck-oo.csv"
61,270,5,32,6,"eclipse","single-version-ck-oo.csv"
1,3,0,1,1,"eclipse","single-version-ck-oo.csv"
9,24,3,10,4,"eclipse","single-version-ck-oo.csv"
11,63,9,23,12,"eclipse","single-version-ck-oo.csv"
6,26,0,12,1,"eclipse","single-version-ck-oo.csv"
43,129,10,36,13,"eclipse","single-version-ck-oo.csv"
16,67,2,25,4,"eclipse","single-version-ck-oo.csv"
3,12,1,4,2,"eclipse","single-version-ck-oo.csv"
22,60,2,16,2,"eclipse","single-version-ck-oo.csv"
14,44,1,10,2,"eclipse","single-version-ck-oo.csv"
43,128,13,46,15,"eclipse","single-version-ck-oo.csv"
5,21,2,5,3,"eclipse","single-version-ck-oo.csv"
3,11,1,5,6,"eclipse","single-version-ck-oo.csv"
20,75,5,29,6,"eclipse","single-version-ck-oo.csv"
5,25,2,7,5,"eclipse","single-version-ck-oo.csv"
3,10,1,6,2,"eclipse","single-version-ck-oo.csv"
25,97,3,48,4,"eclipse","single-version-ck-oo.csv"
45,212,5,69,6,"eclipse","single-version-ck-oo.csv"
40,137,8,78,10,"eclipse","single-version-ck-oo.csv"
15,53,6,25,11,"eclipse","single-version-ck-oo.csv"
8,21,2,9,5,"eclipse","single-version-ck-oo.csv"
3,7,0,2,0,"eclipse","single-version-ck-oo.csv"
17,29,1,6,2,"eclipse","single-version-ck-oo.csv"
32,128,5,64,6,"eclipse","single-version-ck-oo.csv"
25,100,6,31,7,"eclipse","single-version-ck-oo.csv"
62,209,18,79,26,"eclipse","single-version-ck-oo.csv"
68,254,13,116,13,"eclipse","single-version-ck-oo.csv"
166,1189,33,262,34,"eclipse","single-version-ck-oo.csv"
7,24,1,8,5,"eclipse","single-version-ck-oo.csv"
1,7,0,2,2,"eclipse","single-version-ck-oo.csv"
22,76,3,31,4,"eclipse","single-version-ck-oo.csv"
43,166,7,69,8,"eclipse","single-version-ck-oo.csv"
25,79,2,17,3,"eclipse","single-version-ck-oo.csv"
6,23,1,9,3,"eclipse","single-version-ck-oo.csv"
94,312,23,150,33,"eclipse","single-version-ck-oo.csv"
148,909,31,331,36,"eclipse","single-version-ck-oo.csv"
0,0,0,0,0,"eclipse","single-version-ck-oo.csv"
68,235,5,70,10,"eclipse","single-version-ck-oo.csv"
17,61,7,35,18,"eclipse","single-version-ck-oo.csv"
19,75,3,39,4,"eclipse","single-version-ck-oo.csv"
188,849,22,230,26,"eclipse","single-version-ck-oo.csv"
19,72,3,37,3,"eclipse","single-version-ck-oo.csv"
9,46,2,15,3,"eclipse","single-version-ck-oo.csv"
23,75,7,31,10,"eclipse","single-version-ck-oo.csv"
32,163,11,60,11,"eclipse","single-version-ck-oo.csv"
520,1892,48,632,125,"eclipse","single-version-ck-oo.csv"
1,4,0,1,0,"eclipse","single-version-ck-oo.csv"
22,66,2,25,3,"eclipse","single-version-ck-oo.csv"
1,3,0,2,3,"eclipse","single-version-ck-oo.csv"
85,256,16,60,16,"eclipse","single-version-ck-oo.csv"
4,18,1,8,2,"eclipse","single-version-ck-oo.csv"
12,44,3,21,4,"eclipse","single-version-ck-oo.csv"
5,38,1,9,2,"eclipse","single-version-ck-oo.csv"
79,419,28,168,33,"eclipse","single-version-ck-oo.csv"
9,44,7,21,7,"eclipse","single-version-ck-oo.csv"
27,89,9,39,10,"eclipse","single-version-ck-oo.csv"
36,152,11,58,12,"eclipse","single-version-ck-oo.csv"
15,54,2,32,3,"eclipse","single-version-ck-oo.csv"
65,240,6,53,9,"eclipse","single-version-ck-oo.csv"
5,16,2,10,3,"eclipse","single-version-ck-oo.csv"
489,2475,61,1026,110,"eclipse","single-version-ck-oo.csv"
15,70,8,40,15,"eclipse","single-version-ck-oo.csv"
22,72,5,39,6,"eclipse","single-version-ck-oo.csv"
51,195,15,77,15,"eclipse","single-version-ck-oo.csv"
65,257,7,117,14,"eclipse","single-version-ck-oo.csv"
10,41,6,18,12,"eclipse","single-version-ck-oo.csv"
10,42,2,11,3,"eclipse","single-version-ck-oo.csv"
16,85,4,16,4,"eclipse","single-version-ck-oo.csv"
31,115,3,24,5,"eclipse","single-version-ck-oo.csv"
10,40,5,17,5,"eclipse","single-version-ck-oo.csv"
46,231,19,79,20,"eclipse","single-version-ck-oo.csv"
5,18,1,9,2,"eclipse","single-version-ck-oo.csv"
0,0,0,5,2,"eclipse","single-version-ck-oo.csv"
