"maxCodeChurnUntil.","linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","directory","k"
5,16,3,11,11,"lucene","change-metrics.csv"
138,219,5,80,206,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
15,18,3,5,16,"lucene","change-metrics.csv"
1,4,2,3,3,"lucene","change-metrics.csv"
11,174,11,203,68,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
20,96,13,51,20,"lucene","change-metrics.csv"
2,7,4,7,5,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
3,9,2,6,8,"lucene","change-metrics.csv"
0,3,2,3,2,"lucene","change-metrics.csv"
0,3,2,13,2,"lucene","change-metrics.csv"
2,9,4,6,6,"lucene","change-metrics.csv"
8,17,2,9,16,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
11,32,5,58,13,"lucene","change-metrics.csv"
0,5,3,6,4,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
18,223,12,318,160,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
255,618,4,343,431,"lucene","change-metrics.csv"
0,55,2,55,54,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
23,212,11,132,99,"lucene","change-metrics.csv"
4,54,6,63,41,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,65,3,65,63,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
62,232,10,23,65,"lucene","change-metrics.csv"
0,3,3,4,1,"lucene","change-metrics.csv"
7,43,10,36,13,"lucene","change-metrics.csv"
7,11,2,4,10,"lucene","change-metrics.csv"
11,34,4,24,28,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
2,12,4,9,7,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
722,8602,166,4215,1221,"lucene","change-metrics.csv"
8,83,9,81,39,"lucene","change-metrics.csv"
0,1,2,2,1,"lucene","change-metrics.csv"
0,175,5,178,170,"lucene","change-metrics.csv"
27,467,5,440,460,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
8,83,5,68,58,"lucene","change-metrics.csv"
17,24,3,6,17,"lucene","change-metrics.csv"
4,328,7,324,313,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
12,25,4,21,16,"lucene","change-metrics.csv"
0,92,5,150,88,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
445,1117,35,375,483,"lucene","change-metrics.csv"
79,297,11,254,249,"lucene","change-metrics.csv"
0,46,3,46,43,"lucene","change-metrics.csv"
67,301,20,241,77,"lucene","change-metrics.csv"
105,702,29,556,192,"lucene","change-metrics.csv"
0,2,3,2,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
15,99,18,162,30,"lucene","change-metrics.csv"
1,92,4,90,80,"lucene","change-metrics.csv"
94,234,19,194,102,"lucene","change-metrics.csv"
9,100,10,162,27,"lucene","change-metrics.csv"
9,47,9,62,13,"lucene","change-metrics.csv"
52,101,7,66,55,"lucene","change-metrics.csv"
11,203,11,224,121,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,103,3,104,102,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
0,3,3,3,1,"lucene","change-metrics.csv"
78,1239,36,1043,886,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
65,331,16,216,145,"lucene","change-metrics.csv"
42,397,6,312,167,"lucene","change-metrics.csv"
21,87,6,61,57,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,9,9,9,1,"lucene","change-metrics.csv"
1,38,6,111,13,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
7,9,3,3,8,"lucene","change-metrics.csv"
13,79,18,140,25,"lucene","change-metrics.csv"
98,320,22,151,100,"lucene","change-metrics.csv"
32,167,8,115,96,"lucene","change-metrics.csv"
1,13,6,12,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,0,0,0,0,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
67,256,24,133,68,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,2,2,2,1,"lucene","change-metrics.csv"
5,26,4,58,13,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
21,43,4,6,21,"lucene","change-metrics.csv"
59,86,6,8,59,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,4,4,4,1,"lucene","change-metrics.csv"
15,22,4,6,16,"lucene","change-metrics.csv"
36,82,3,46,43,"lucene","change-metrics.csv"
33,79,3,46,43,"lucene","change-metrics.csv"
2,129,3,127,124,"lucene","change-metrics.csv"
1,20,3,57,13,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,11,3,22,10,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,4,5,23,2,"lucene","change-metrics.csv"
15,27,5,21,16,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,193,3,193,190,"lucene","change-metrics.csv"
8,35,5,64,14,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
47,272,16,203,78,"lucene","change-metrics.csv"
0,3,3,4,1,"lucene","change-metrics.csv"
39,164,12,117,62,"lucene","change-metrics.csv"
1,7,2,6,6,"lucene","change-metrics.csv"
0,45,3,45,43,"lucene","change-metrics.csv"
59,1045,15,900,154,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
93,1332,57,605,116,"lucene","change-metrics.csv"
46,146,16,133,77,"lucene","change-metrics.csv"
46,124,11,103,68,"lucene","change-metrics.csv"
12,46,6,61,15,"lucene","change-metrics.csv"
1,4,2,3,3,"lucene","change-metrics.csv"
0,5,5,5,1,"lucene","change-metrics.csv"
125,262,11,152,142,"lucene","change-metrics.csv"
28,31,3,3,29,"lucene","change-metrics.csv"
0,1,1,1,1,"lucene","change-metrics.csv"
1,8,3,7,6,"lucene","change-metrics.csv"
1,8,3,8,6,"lucene","change-metrics.csv"
8,10,2,2,9,"lucene","change-metrics.csv"
