"linesAddedUntil.","numberOfVersionsUntil.","linesRemovedUntil.","maxLinesAddedUntil.","maxLinesRemovedUntil.","directory","k"
57,7,90,20,34,"pde","change-metrics.csv"
440,35,345,106,162,"pde","change-metrics.csv"
122,11,159,97,117,"pde","change-metrics.csv"
299,14,153,139,72,"pde","change-metrics.csv"
26,3,34,24,32,"pde","change-metrics.csv"
20,5,17,10,12,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
132,10,55,70,18,"pde","change-metrics.csv"
3,2,7,3,7,"pde","change-metrics.csv"
53,6,57,40,54,"pde","change-metrics.csv"
1834,42,612,541,166,"pde","change-metrics.csv"
487,14,111,203,74,"pde","change-metrics.csv"
685,12,313,399,235,"pde","change-metrics.csv"
107,12,77,32,39,"pde","change-metrics.csv"
223,5,189,111,155,"pde","change-metrics.csv"
207,21,160,55,39,"pde","change-metrics.csv"
1,2,2,1,2,"pde","change-metrics.csv"
228,12,120,120,32,"pde","change-metrics.csv"
19,3,23,18,21,"pde","change-metrics.csv"
62,19,64,10,20,"pde","change-metrics.csv"
12,7,39,7,20,"pde","change-metrics.csv"
544,29,311,186,99,"pde","change-metrics.csv"
4,2,5,4,5,"pde","change-metrics.csv"
84,18,60,16,28,"pde","change-metrics.csv"
19,7,24,6,10,"pde","change-metrics.csv"
7,2,7,7,7,"pde","change-metrics.csv"
21,2,25,21,25,"pde","change-metrics.csv"
188,32,250,34,115,"pde","change-metrics.csv"
16,4,9,10,8,"pde","change-metrics.csv"
21,7,17,10,10,"pde","change-metrics.csv"
107,15,112,31,49,"pde","change-metrics.csv"
34,6,26,13,19,"pde","change-metrics.csv"
70,11,74,26,27,"pde","change-metrics.csv"
36,3,63,32,61,"pde","change-metrics.csv"
31,6,89,17,55,"pde","change-metrics.csv"
315,7,30,138,25,"pde","change-metrics.csv"
374,16,273,149,98,"pde","change-metrics.csv"
102,7,38,47,25,"pde","change-metrics.csv"
4,5,4,1,1,"pde","change-metrics.csv"
328,15,311,116,148,"pde","change-metrics.csv"
16,6,5,10,2,"pde","change-metrics.csv"
17,3,9,10,9,"pde","change-metrics.csv"
71,11,29,25,12,"pde","change-metrics.csv"
126,10,65,67,28,"pde","change-metrics.csv"
20,5,16,15,13,"pde","change-metrics.csv"
123,19,69,35,13,"pde","change-metrics.csv"
33,3,50,29,48,"pde","change-metrics.csv"
24,5,24,13,15,"pde","change-metrics.csv"
113,15,103,36,51,"pde","change-metrics.csv"
4,2,6,4,6,"pde","change-metrics.csv"
7,5,11,4,4,"pde","change-metrics.csv"
163,10,162,105,105,"pde","change-metrics.csv"
204,5,74,132,55,"pde","change-metrics.csv"
76,6,64,43,32,"pde","change-metrics.csv"
994,14,114,407,65,"pde","change-metrics.csv"
350,11,188,147,133,"pde","change-metrics.csv"
261,12,38,70,21,"pde","change-metrics.csv"
182,19,158,41,69,"pde","change-metrics.csv"
327,24,314,111,194,"pde","change-metrics.csv"
44,5,17,22,11,"pde","change-metrics.csv"
149,24,139,75,55,"pde","change-metrics.csv"
4,2,7,4,7,"pde","change-metrics.csv"
75,12,55,23,23,"pde","change-metrics.csv"
79,6,90,50,45,"pde","change-metrics.csv"
36,6,28,14,23,"pde","change-metrics.csv"
73,10,41,32,17,"pde","change-metrics.csv"
91,11,65,55,48,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
31,8,18,14,6,"pde","change-metrics.csv"
197,25,188,45,47,"pde","change-metrics.csv"
215,31,135,49,52,"pde","change-metrics.csv"
4,3,0,4,0,"pde","change-metrics.csv"
79,16,58,18,15,"pde","change-metrics.csv"
513,11,425,229,239,"pde","change-metrics.csv"
48,8,24,10,9,"pde","change-metrics.csv"
236,21,333,86,141,"pde","change-metrics.csv"
37,9,37,20,15,"pde","change-metrics.csv"
90,16,42,35,7,"pde","change-metrics.csv"
203,10,124,91,91,"pde","change-metrics.csv"
143,13,66,83,40,"pde","change-metrics.csv"
1106,49,898,220,205,"pde","change-metrics.csv"
6,4,11,3,7,"pde","change-metrics.csv"
79,15,84,39,28,"pde","change-metrics.csv"
36,5,27,21,19,"pde","change-metrics.csv"
462,28,156,268,44,"pde","change-metrics.csv"
276,10,30,116,25,"pde","change-metrics.csv"
122,17,72,30,27,"pde","change-metrics.csv"
4,3,5,3,4,"pde","change-metrics.csv"
337,29,247,117,78,"pde","change-metrics.csv"
3,2,6,3,6,"pde","change-metrics.csv"
330,7,24,147,19,"pde","change-metrics.csv"
6,2,8,6,8,"pde","change-metrics.csv"
25,6,22,10,10,"pde","change-metrics.csv"
24,5,18,10,10,"pde","change-metrics.csv"
26,2,32,26,32,"pde","change-metrics.csv"
231,19,148,106,62,"pde","change-metrics.csv"
25,10,24,8,4,"pde","change-metrics.csv"
740,19,191,221,65,"pde","change-metrics.csv"
33,5,49,29,44,"pde","change-metrics.csv"
617,26,653,168,263,"pde","change-metrics.csv"
82,27,123,15,61,"pde","change-metrics.csv"
7,2,0,7,0,"pde","change-metrics.csv"
34,9,33,10,16,"pde","change-metrics.csv"
460,11,36,146,24,"pde","change-metrics.csv"
12,5,17,6,14,"pde","change-metrics.csv"
94,15,68,26,18,"pde","change-metrics.csv"
49,6,29,21,17,"pde","change-metrics.csv"
37,8,22,11,5,"pde","change-metrics.csv"
148,4,71,117,37,"pde","change-metrics.csv"
51,11,36,12,12,"pde","change-metrics.csv"
24,9,111,10,93,"pde","change-metrics.csv"
224,29,181,56,73,"pde","change-metrics.csv"
575,25,258,188,205,"pde","change-metrics.csv"
60,5,56,47,50,"pde","change-metrics.csv"
22,5,12,10,6,"pde","change-metrics.csv"
126,11,114,51,44,"pde","change-metrics.csv"
36,12,28,8,9,"pde","change-metrics.csv"
259,18,253,162,128,"pde","change-metrics.csv"
284,39,158,70,84,"pde","change-metrics.csv"
79,7,33,39,20,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
109,15,83,35,29,"pde","change-metrics.csv"
15,3,6,10,6,"pde","change-metrics.csv"
122,26,101,16,24,"pde","change-metrics.csv"
42,7,48,18,22,"pde","change-metrics.csv"
23,6,20,16,13,"pde","change-metrics.csv"
67,7,21,20,13,"pde","change-metrics.csv"
276,23,252,45,47,"pde","change-metrics.csv"
44,11,52,14,23,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
94,13,88,34,23,"pde","change-metrics.csv"
25,7,19,10,8,"pde","change-metrics.csv"
96,4,2,46,2,"pde","change-metrics.csv"
92,11,84,23,48,"pde","change-metrics.csv"
53,7,36,18,24,"pde","change-metrics.csv"
145,12,91,37,34,"pde","change-metrics.csv"
119,5,123,54,100,"pde","change-metrics.csv"
40,6,24,25,13,"pde","change-metrics.csv"
233,9,255,160,160,"pde","change-metrics.csv"
154,5,19,71,12,"pde","change-metrics.csv"
2508,67,1324,489,549,"pde","change-metrics.csv"
372,7,125,174,92,"pde","change-metrics.csv"
118,9,72,26,47,"pde","change-metrics.csv"
574,11,123,223,95,"pde","change-metrics.csv"
59,5,84,56,81,"pde","change-metrics.csv"
188,9,177,116,116,"pde","change-metrics.csv"
60,6,40,30,32,"pde","change-metrics.csv"
156,14,136,56,74,"pde","change-metrics.csv"
8,2,14,8,14,"pde","change-metrics.csv"
327,14,174,142,69,"pde","change-metrics.csv"
13,3,23,9,21,"pde","change-metrics.csv"
3117,23,802,1110,376,"pde","change-metrics.csv"
14,3,4,10,4,"pde","change-metrics.csv"
162,13,59,53,40,"pde","change-metrics.csv"
76,9,74,25,26,"pde","change-metrics.csv"
9,4,14,6,6,"pde","change-metrics.csv"
41,7,22,15,8,"pde","change-metrics.csv"
104,9,24,45,19,"pde","change-metrics.csv"
3,2,4,3,4,"pde","change-metrics.csv"
463,13,501,293,293,"pde","change-metrics.csv"
215,24,461,27,279,"pde","change-metrics.csv"
636,38,415,112,83,"pde","change-metrics.csv"
446,34,417,243,176,"pde","change-metrics.csv"
133,14,118,35,48,"pde","change-metrics.csv"
13,3,18,9,16,"pde","change-metrics.csv"
12,3,17,11,17,"pde","change-metrics.csv"
131,9,135,98,98,"pde","change-metrics.csv"
126,8,24,60,13,"pde","change-metrics.csv"
21,7,23,10,16,"pde","change-metrics.csv"
297,25,315,89,129,"pde","change-metrics.csv"
217,15,119,61,65,"pde","change-metrics.csv"
78,14,27,13,13,"pde","change-metrics.csv"
5,5,3,2,2,"pde","change-metrics.csv"
250,25,377,142,122,"pde","change-metrics.csv"
138,20,88,25,14,"pde","change-metrics.csv"
13,2,16,13,16,"pde","change-metrics.csv"
72,3,8,55,6,"pde","change-metrics.csv"
129,10,33,64,21,"pde","change-metrics.csv"
20,7,17,10,4,"pde","change-metrics.csv"
47,7,38,28,29,"pde","change-metrics.csv"
1457,101,811,263,103,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
18,4,48,9,26,"pde","change-metrics.csv"
312,33,252,65,80,"pde","change-metrics.csv"
13,4,4,10,2,"pde","change-metrics.csv"
163,10,120,51,33,"pde","change-metrics.csv"
58,5,109,26,60,"pde","change-metrics.csv"
9,6,4,4,2,"pde","change-metrics.csv"
128,13,49,46,17,"pde","change-metrics.csv"
15,4,7,10,6,"pde","change-metrics.csv"
93,4,134,81,127,"pde","change-metrics.csv"
52,11,41,14,18,"pde","change-metrics.csv"
51,3,45,47,41,"pde","change-metrics.csv"
5,3,7,3,5,"pde","change-metrics.csv"
17,3,3,14,3,"pde","change-metrics.csv"
81,4,33,29,33,"pde","change-metrics.csv"
272,10,227,97,153,"pde","change-metrics.csv"
93,3,68,47,64,"pde","change-metrics.csv"
7,6,8,3,3,"pde","change-metrics.csv"
232,23,131,64,30,"pde","change-metrics.csv"
166,15,153,53,57,"pde","change-metrics.csv"
73,4,3,35,3,"pde","change-metrics.csv"
86,5,4,41,4,"pde","change-metrics.csv"
17,2,25,17,25,"pde","change-metrics.csv"
27,7,19,10,8,"pde","change-metrics.csv"
254,13,66,102,19,"pde","change-metrics.csv"
103,14,91,36,52,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
35,6,35,17,14,"pde","change-metrics.csv"
320,25,186,157,46,"pde","change-metrics.csv"
48,8,37,12,18,"pde","change-metrics.csv"
126,17,104,25,29,"pde","change-metrics.csv"
468,47,347,68,73,"pde","change-metrics.csv"
187,15,104,72,44,"pde","change-metrics.csv"
56,3,67,55,66,"pde","change-metrics.csv"
572,15,357,388,329,"pde","change-metrics.csv"
169,8,286,94,147,"pde","change-metrics.csv"
12,4,19,8,15,"pde","change-metrics.csv"
1628,103,2218,163,411,"pde","change-metrics.csv"
71,6,27,56,10,"pde","change-metrics.csv"
39,7,22,19,11,"pde","change-metrics.csv"
193,15,240,40,62,"pde","change-metrics.csv"
692,23,578,179,115,"pde","change-metrics.csv"
500,14,393,381,280,"pde","change-metrics.csv"
7,3,13,6,12,"pde","change-metrics.csv"
46,5,78,20,31,"pde","change-metrics.csv"
227,17,192,50,68,"pde","change-metrics.csv"
27,4,4,16,3,"pde","change-metrics.csv"
20,2,21,20,21,"pde","change-metrics.csv"
121,3,155,90,145,"pde","change-metrics.csv"
279,27,344,64,120,"pde","change-metrics.csv"
141,14,106,48,73,"pde","change-metrics.csv"
368,37,254,78,49,"pde","change-metrics.csv"
62,7,55,37,36,"pde","change-metrics.csv"
51,8,41,28,25,"pde","change-metrics.csv"
928,30,364,216,226,"pde","change-metrics.csv"
472,32,406,167,110,"pde","change-metrics.csv"
221,10,132,94,59,"pde","change-metrics.csv"
20,5,16,11,9,"pde","change-metrics.csv"
1,2,2,1,2,"pde","change-metrics.csv"
67,4,58,36,50,"pde","change-metrics.csv"
27,7,22,13,13,"pde","change-metrics.csv"
63,14,59,22,32,"pde","change-metrics.csv"
114,4,115,102,109,"pde","change-metrics.csv"
150,9,112,51,63,"pde","change-metrics.csv"
173,14,220,63,110,"pde","change-metrics.csv"
43,13,29,11,5,"pde","change-metrics.csv"
34,9,25,17,16,"pde","change-metrics.csv"
8,2,9,8,9,"pde","change-metrics.csv"
67,13,44,20,8,"pde","change-metrics.csv"
36,2,36,36,36,"pde","change-metrics.csv"
164,30,161,51,69,"pde","change-metrics.csv"
174,19,85,85,24,"pde","change-metrics.csv"
52,10,32,15,6,"pde","change-metrics.csv"
118,20,107,25,33,"pde","change-metrics.csv"
11,4,5,10,4,"pde","change-metrics.csv"
17,3,8,10,8,"pde","change-metrics.csv"
294,47,248,36,45,"pde","change-metrics.csv"
22,7,14,11,5,"pde","change-metrics.csv"
22,4,15,11,10,"pde","change-metrics.csv"
399,34,393,90,71,"pde","change-metrics.csv"
581,13,88,254,73,"pde","change-metrics.csv"
98,17,94,23,51,"pde","change-metrics.csv"
36,5,26,19,16,"pde","change-metrics.csv"
192,16,164,47,48,"pde","change-metrics.csv"
572,13,475,186,278,"pde","change-metrics.csv"
22,5,16,9,6,"pde","change-metrics.csv"
225,10,68,93,34,"pde","change-metrics.csv"
36,9,46,10,24,"pde","change-metrics.csv"
62,9,29,22,20,"pde","change-metrics.csv"
16,2,25,16,25,"pde","change-metrics.csv"
356,8,131,126,106,"pde","change-metrics.csv"
40,10,34,17,16,"pde","change-metrics.csv"
240,8,235,123,146,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
667,29,471,165,127,"pde","change-metrics.csv"
1358,45,809,384,241,"pde","change-metrics.csv"
167,15,136,39,43,"pde","change-metrics.csv"
5,5,6,2,2,"pde","change-metrics.csv"
99,20,92,29,57,"pde","change-metrics.csv"
13,2,16,13,16,"pde","change-metrics.csv"
113,8,87,34,32,"pde","change-metrics.csv"
127,7,34,87,25,"pde","change-metrics.csv"
15,3,14,12,7,"pde","change-metrics.csv"
14,4,87,14,39,"pde","change-metrics.csv"
30,2,43,30,43,"pde","change-metrics.csv"
264,26,254,72,104,"pde","change-metrics.csv"
2,2,2,2,2,"pde","change-metrics.csv"
79,13,53,19,22,"pde","change-metrics.csv"
13,3,7,10,7,"pde","change-metrics.csv"
82,4,33,55,22,"pde","change-metrics.csv"
2331,79,2386,256,453,"pde","change-metrics.csv"
106,10,138,55,53,"pde","change-metrics.csv"
263,23,235,59,92,"pde","change-metrics.csv"
785,42,837,242,212,"pde","change-metrics.csv"
42,9,40,14,28,"pde","change-metrics.csv"
61,13,41,23,19,"pde","change-metrics.csv"
515,18,485,266,289,"pde","change-metrics.csv"
172,14,205,85,138,"pde","change-metrics.csv"
40,4,10,34,8,"pde","change-metrics.csv"
41,5,54,31,52,"pde","change-metrics.csv"
19,3,23,17,20,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
199,5,19,93,18,"pde","change-metrics.csv"
227,18,163,103,90,"pde","change-metrics.csv"
3,2,8,3,8,"pde","change-metrics.csv"
5,2,9,5,9,"pde","change-metrics.csv"
38,6,64,34,60,"pde","change-metrics.csv"
6,4,10,3,4,"pde","change-metrics.csv"
10,4,7,5,3,"pde","change-metrics.csv"
40,8,35,13,20,"pde","change-metrics.csv"
23,5,11,10,10,"pde","change-metrics.csv"
1084,54,901,181,140,"pde","change-metrics.csv"
309,7,42,137,37,"pde","change-metrics.csv"
152,25,179,49,67,"pde","change-metrics.csv"
25,12,36,4,15,"pde","change-metrics.csv"
87,7,8,32,4,"pde","change-metrics.csv"
10,3,11,9,10,"pde","change-metrics.csv"
14,5,4,10,2,"pde","change-metrics.csv"
184,29,223,35,41,"pde","change-metrics.csv"
352,37,319,83,74,"pde","change-metrics.csv"
66,7,7,26,5,"pde","change-metrics.csv"
3012,141,2790,537,656,"pde","change-metrics.csv"
16,4,10,10,8,"pde","change-metrics.csv"
1322,25,609,560,327,"pde","change-metrics.csv"
45,3,28,28,22,"pde","change-metrics.csv"
408,14,147,126,30,"pde","change-metrics.csv"
157,25,147,25,48,"pde","change-metrics.csv"
72,9,42,37,12,"pde","change-metrics.csv"
628,36,271,150,92,"pde","change-metrics.csv"
20,5,24,11,15,"pde","change-metrics.csv"
17,5,15,8,13,"pde","change-metrics.csv"
26,9,23,10,12,"pde","change-metrics.csv"
133,9,49,104,29,"pde","change-metrics.csv"
547,33,345,144,125,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
118,9,120,75,75,"pde","change-metrics.csv"
143,16,103,56,39,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
64,14,51,19,19,"pde","change-metrics.csv"
22,3,6,18,6,"pde","change-metrics.csv"
125,25,723,18,632,"pde","change-metrics.csv"
218,20,418,56,245,"pde","change-metrics.csv"
66,13,100,19,39,"pde","change-metrics.csv"
508,33,548,107,302,"pde","change-metrics.csv"
907,30,217,271,74,"pde","change-metrics.csv"
55,5,3,26,2,"pde","change-metrics.csv"
147,15,98,56,28,"pde","change-metrics.csv"
179,5,20,83,14,"pde","change-metrics.csv"
21,2,32,21,32,"pde","change-metrics.csv"
6,3,4,5,3,"pde","change-metrics.csv"
29,7,31,17,23,"pde","change-metrics.csv"
256,16,70,58,46,"pde","change-metrics.csv"
2,3,2,1,1,"pde","change-metrics.csv"
9,3,6,7,6,"pde","change-metrics.csv"
180,9,223,136,136,"pde","change-metrics.csv"
89,13,84,43,30,"pde","change-metrics.csv"
157,6,9,75,6,"pde","change-metrics.csv"
12,4,8,4,4,"pde","change-metrics.csv"
42,8,58,10,18,"pde","change-metrics.csv"
2019,32,843,637,299,"pde","change-metrics.csv"
602,19,330,394,300,"pde","change-metrics.csv"
401,8,50,181,44,"pde","change-metrics.csv"
11,2,13,11,13,"pde","change-metrics.csv"
63,4,31,33,30,"pde","change-metrics.csv"
541,43,352,87,60,"pde","change-metrics.csv"
41,11,46,9,16,"pde","change-metrics.csv"
571,22,348,224,158,"pde","change-metrics.csv"
161,38,175,31,37,"pde","change-metrics.csv"
12,2,18,12,18,"pde","change-metrics.csv"
11,2,20,11,20,"pde","change-metrics.csv"
9,2,10,9,10,"pde","change-metrics.csv"
911,31,262,304,95,"pde","change-metrics.csv"
117,9,115,73,73,"pde","change-metrics.csv"
64,4,2,31,2,"pde","change-metrics.csv"
525,28,227,93,64,"pde","change-metrics.csv"
78,15,83,16,30,"pde","change-metrics.csv"
28,3,22,18,22,"pde","change-metrics.csv"
154,9,160,121,121,"pde","change-metrics.csv"
93,9,54,55,24,"pde","change-metrics.csv"
145,4,25,62,25,"pde","change-metrics.csv"
182,11,32,75,18,"pde","change-metrics.csv"
39,8,63,28,44,"pde","change-metrics.csv"
1082,28,952,181,236,"pde","change-metrics.csv"
168,10,29,56,17,"pde","change-metrics.csv"
447,22,170,107,58,"pde","change-metrics.csv"
61,14,48,19,20,"pde","change-metrics.csv"
26,5,42,23,38,"pde","change-metrics.csv"
1922,46,1239,460,292,"pde","change-metrics.csv"
221,7,60,100,42,"pde","change-metrics.csv"
4,2,6,4,6,"pde","change-metrics.csv"
41,3,70,39,68,"pde","change-metrics.csv"
11,2,14,11,14,"pde","change-metrics.csv"
827,12,139,301,98,"pde","change-metrics.csv"
122,21,86,42,15,"pde","change-metrics.csv"
47,12,50,14,17,"pde","change-metrics.csv"
157,6,15,73,12,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
54,3,121,38,68,"pde","change-metrics.csv"
90,18,49,26,20,"pde","change-metrics.csv"
40,3,30,30,30,"pde","change-metrics.csv"
301,12,273,65,123,"pde","change-metrics.csv"
0,0,0,0,0,"pde","change-metrics.csv"
243,13,29,91,10,"pde","change-metrics.csv"
53,14,43,23,15,"pde","change-metrics.csv"
11,7,16,4,7,"pde","change-metrics.csv"
16,4,8,10,7,"pde","change-metrics.csv"
599,29,322,124,72,"pde","change-metrics.csv"
4,3,3,2,2,"pde","change-metrics.csv"
310,12,182,141,129,"pde","change-metrics.csv"
177,6,54,147,29,"pde","change-metrics.csv"
48,13,48,10,14,"pde","change-metrics.csv"
22,3,51,20,46,"pde","change-metrics.csv"
474,31,209,112,67,"pde","change-metrics.csv"
120,13,40,38,23,"pde","change-metrics.csv"
6,2,11,6,11,"pde","change-metrics.csv"
29,6,19,14,17,"pde","change-metrics.csv"
157,15,45,61,12,"pde","change-metrics.csv"
79,3,6,70,6,"pde","change-metrics.csv"
116,17,94,41,21,"pde","change-metrics.csv"
100,7,87,41,44,"pde","change-metrics.csv"
16,2,18,16,18,"pde","change-metrics.csv"
25,3,18,17,17,"pde","change-metrics.csv"
139,5,18,64,13,"pde","change-metrics.csv"
319,17,161,104,91,"pde","change-metrics.csv"
21,9,8,10,2,"pde","change-metrics.csv"
53,12,49,11,15,"pde","change-metrics.csv"
307,10,16,131,12,"pde","change-metrics.csv"
1011,20,263,314,93,"pde","change-metrics.csv"
742,63,711,85,148,"pde","change-metrics.csv"
216,3,240,214,238,"pde","change-metrics.csv"
491,13,377,161,179,"pde","change-metrics.csv"
529,28,382,142,117,"pde","change-metrics.csv"
117,15,91,28,22,"pde","change-metrics.csv"
4,2,9,4,9,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
41,7,18,24,13,"pde","change-metrics.csv"
6,2,9,6,9,"pde","change-metrics.csv"
142,14,82,31,30,"pde","change-metrics.csv"
400,25,478,90,171,"pde","change-metrics.csv"
3,2,14,3,14,"pde","change-metrics.csv"
27,5,21,13,19,"pde","change-metrics.csv"
2,2,1,2,1,"pde","change-metrics.csv"
13,3,67,12,46,"pde","change-metrics.csv"
104,14,73,27,23,"pde","change-metrics.csv"
88,6,8,41,5,"pde","change-metrics.csv"
2,2,4,2,4,"pde","change-metrics.csv"
866,45,544,152,140,"pde","change-metrics.csv"
179,5,8,86,8,"pde","change-metrics.csv"
243,15,65,98,35,"pde","change-metrics.csv"
493,6,48,212,47,"pde","change-metrics.csv"
11,5,11,4,5,"pde","change-metrics.csv"
90,11,35,41,12,"pde","change-metrics.csv"
549,57,516,109,108,"pde","change-metrics.csv"
693,29,909,123,304,"pde","change-metrics.csv"
48,8,18,23,6,"pde","change-metrics.csv"
100,16,60,22,15,"pde","change-metrics.csv"
485,9,105,174,65,"pde","change-metrics.csv"
78,5,70,42,58,"pde","change-metrics.csv"
11,3,11,6,10,"pde","change-metrics.csv"
320,26,176,49,63,"pde","change-metrics.csv"
3,2,3,3,3,"pde","change-metrics.csv"
341,15,207,107,79,"pde","change-metrics.csv"
205,7,52,91,26,"pde","change-metrics.csv"
535,40,499,123,105,"pde","change-metrics.csv"
9,3,9,8,8,"pde","change-metrics.csv"
104,4,4,50,4,"pde","change-metrics.csv"
71,6,7,33,4,"pde","change-metrics.csv"
35,12,24,10,6,"pde","change-metrics.csv"
17,3,10,10,10,"pde","change-metrics.csv"
54,4,3,26,3,"pde","change-metrics.csv"
45,6,28,18,14,"pde","change-metrics.csv"
219,11,202,175,158,"pde","change-metrics.csv"
17,7,12,8,5,"pde","change-metrics.csv"
22,4,20,9,14,"pde","change-metrics.csv"
13,4,30,8,20,"pde","change-metrics.csv"
729,40,1144,135,444,"pde","change-metrics.csv"
157,19,94,31,48,"pde","change-metrics.csv"
146,14,70,52,35,"pde","change-metrics.csv"
123,5,32,103,28,"pde","change-metrics.csv"
109,15,62,44,20,"pde","change-metrics.csv"
106,6,80,59,58,"pde","change-metrics.csv"
4,2,4,4,4,"pde","change-metrics.csv"
127,18,132,33,45,"pde","change-metrics.csv"
58,4,26,39,26,"pde","change-metrics.csv"
152,16,56,32,26,"pde","change-metrics.csv"
826,12,268,242,86,"pde","change-metrics.csv"
822,16,249,293,60,"pde","change-metrics.csv"
17,6,7,10,3,"pde","change-metrics.csv"
36,4,29,23,25,"pde","change-metrics.csv"
13,2,14,13,14,"pde","change-metrics.csv"
147,14,97,51,48,"pde","change-metrics.csv"
2,3,2,1,1,"pde","change-metrics.csv"
55,7,41,38,30,"pde","change-metrics.csv"
144,4,17,66,17,"pde","change-metrics.csv"
36,3,49,25,48,"pde","change-metrics.csv"
310,15,73,98,29,"pde","change-metrics.csv"
156,18,126,24,23,"pde","change-metrics.csv"
5,3,2,3,1,"pde","change-metrics.csv"
446,33,310,119,110,"pde","change-metrics.csv"
66,10,44,29,11,"pde","change-metrics.csv"
20,3,47,13,30,"pde","change-metrics.csv"
993,65,544,127,156,"pde","change-metrics.csv"
15,3,10,10,10,"pde","change-metrics.csv"
49,11,41,10,12,"pde","change-metrics.csv"
117,10,24,44,13,"pde","change-metrics.csv"
72,16,80,12,29,"pde","change-metrics.csv"
377,29,224,109,61,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
10,3,1,10,1,"pde","change-metrics.csv"
80,6,7,32,5,"pde","change-metrics.csv"
1158,37,907,340,294,"pde","change-metrics.csv"
266,6,108,158,87,"pde","change-metrics.csv"
5,3,4,4,3,"pde","change-metrics.csv"
37,6,94,27,44,"pde","change-metrics.csv"
323,9,47,143,32,"pde","change-metrics.csv"
187,21,181,33,60,"pde","change-metrics.csv"
15,7,17,8,8,"pde","change-metrics.csv"
314,23,185,69,66,"pde","change-metrics.csv"
95,4,73,66,65,"pde","change-metrics.csv"
44,9,39,14,16,"pde","change-metrics.csv"
23,8,19,8,5,"pde","change-metrics.csv"
277,35,278,50,85,"pde","change-metrics.csv"
70,9,105,32,31,"pde","change-metrics.csv"
18,3,13,10,13,"pde","change-metrics.csv"
23,3,26,22,25,"pde","change-metrics.csv"
405,13,251,188,212,"pde","change-metrics.csv"
1266,19,411,427,127,"pde","change-metrics.csv"
29,6,16,18,12,"pde","change-metrics.csv"
564,16,458,249,174,"pde","change-metrics.csv"
80,15,82,18,29,"pde","change-metrics.csv"
41,9,26,13,20,"pde","change-metrics.csv"
32,8,64,16,52,"pde","change-metrics.csv"
433,43,382,166,168,"pde","change-metrics.csv"
30,6,40,12,22,"pde","change-metrics.csv"
866,13,108,384,59,"pde","change-metrics.csv"
37,5,44,20,22,"pde","change-metrics.csv"
168,15,125,68,57,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
618,32,531,196,176,"pde","change-metrics.csv"
513,115,404,145,145,"pde","change-metrics.csv"
795,27,191,173,89,"pde","change-metrics.csv"
58,6,50,38,39,"pde","change-metrics.csv"
452,12,138,211,97,"pde","change-metrics.csv"
22,2,31,22,31,"pde","change-metrics.csv"
15,3,6,14,5,"pde","change-metrics.csv"
250,27,162,72,45,"pde","change-metrics.csv"
74,22,50,11,15,"pde","change-metrics.csv"
120,9,123,90,90,"pde","change-metrics.csv"
79,8,46,28,27,"pde","change-metrics.csv"
2,2,1,2,1,"pde","change-metrics.csv"
229,33,201,124,119,"pde","change-metrics.csv"
59,7,33,21,16,"pde","change-metrics.csv"
24,8,18,10,6,"pde","change-metrics.csv"
95,12,37,20,25,"pde","change-metrics.csv"
64,6,54,32,39,"pde","change-metrics.csv"
145,10,113,53,46,"pde","change-metrics.csv"
91,10,81,30,28,"pde","change-metrics.csv"
57,14,51,20,28,"pde","change-metrics.csv"
174,7,346,74,206,"pde","change-metrics.csv"
36,6,35,30,32,"pde","change-metrics.csv"
190,25,137,65,45,"pde","change-metrics.csv"
7,2,15,7,15,"pde","change-metrics.csv"
0,1,0,0,0,"pde","change-metrics.csv"
6,4,8,4,6,"pde","change-metrics.csv"
261,5,230,153,168,"pde","change-metrics.csv"
1,2,1,1,1,"pde","change-metrics.csv"
56,4,57,51,51,"pde","change-metrics.csv"
1,2,2,1,2,"pde","change-metrics.csv"
6,5,7,4,4,"pde","change-metrics.csv"
496,42,700,153,239,"pde","change-metrics.csv"
63,15,51,10,8,"pde","change-metrics.csv"
90,18,69,26,26,"pde","change-metrics.csv"
4,3,0,4,0,"pde","change-metrics.csv"
53,5,38,39,34,"pde","change-metrics.csv"
16,3,17,12,9,"pde","change-metrics.csv"
199,30,107,41,34,"pde","change-metrics.csv"
