"rfc","numberOfLinesOfCode","fanOut","wmc","numberOfPrivateMethods","directory","k"
31,40,14,11,1,"pde","single-version-ck-oo.csv"
7,23,1,8,0,"pde","single-version-ck-oo.csv"
161,407,28,66,18,"pde","single-version-ck-oo.csv"
47,90,11,24,0,"pde","single-version-ck-oo.csv"
21,52,6,16,0,"pde","single-version-ck-oo.csv"
133,313,12,79,10,"pde","single-version-ck-oo.csv"
100,202,17,40,6,"pde","single-version-ck-oo.csv"
10,26,2,8,0,"pde","single-version-ck-oo.csv"
8,11,4,3,0,"pde","single-version-ck-oo.csv"
35,63,3,13,1,"pde","single-version-ck-oo.csv"
22,41,9,12,0,"pde","single-version-ck-oo.csv"
23,28,3,7,0,"pde","single-version-ck-oo.csv"
108,169,12,52,0,"pde","single-version-ck-oo.csv"
54,113,7,26,2,"pde","single-version-ck-oo.csv"
8,19,2,6,0,"pde","single-version-ck-oo.csv"
26,82,3,11,0,"pde","single-version-ck-oo.csv"
24,51,8,9,0,"pde","single-version-ck-oo.csv"
96,185,9,66,7,"pde","single-version-ck-oo.csv"
45,77,9,21,0,"pde","single-version-ck-oo.csv"
41,83,6,17,0,"pde","single-version-ck-oo.csv"
4,10,1,3,0,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
121,173,13,44,0,"pde","single-version-ck-oo.csv"
55,113,12,24,7,"pde","single-version-ck-oo.csv"
40,108,4,18,4,"pde","single-version-ck-oo.csv"
76,147,7,27,10,"pde","single-version-ck-oo.csv"
102,176,5,47,9,"pde","single-version-ck-oo.csv"
2,4,0,1,0,"pde","single-version-ck-oo.csv"
10,32,1,6,0,"pde","single-version-ck-oo.csv"
78,210,6,63,0,"pde","single-version-ck-oo.csv"
187,365,30,76,9,"pde","single-version-ck-oo.csv"
328,548,48,150,9,"pde","single-version-ck-oo.csv"
9,30,0,8,0,"pde","single-version-ck-oo.csv"
12,27,2,9,0,"pde","single-version-ck-oo.csv"
176,387,22,59,18,"pde","single-version-ck-oo.csv"
73,156,6,52,6,"pde","single-version-ck-oo.csv"
195,350,11,111,2,"pde","single-version-ck-oo.csv"
16,30,3,8,0,"pde","single-version-ck-oo.csv"
3,10,0,3,0,"pde","single-version-ck-oo.csv"
17,43,6,3,0,"pde","single-version-ck-oo.csv"
56,160,10,27,2,"pde","single-version-ck-oo.csv"
46,71,7,21,3,"pde","single-version-ck-oo.csv"
34,59,10,18,0,"pde","single-version-ck-oo.csv"
10,13,5,3,0,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
12,27,6,9,0,"pde","single-version-ck-oo.csv"
36,45,19,19,0,"pde","single-version-ck-oo.csv"
18,34,4,9,0,"pde","single-version-ck-oo.csv"
53,116,7,50,2,"pde","single-version-ck-oo.csv"
0,0,0,0,0,"pde","single-version-ck-oo.csv"
42,119,8,20,1,"pde","single-version-ck-oo.csv"
8,14,3,4,0,"pde","single-version-ck-oo.csv"
14,29,4,7,1,"pde","single-version-ck-oo.csv"
86,170,5,83,3,"pde","single-version-ck-oo.csv"
53,87,7,18,2,"pde","single-version-ck-oo.csv"
12,19,5,4,0,"pde","single-version-ck-oo.csv"
153,425,12,85,23,"pde","single-version-ck-oo.csv"
36,85,2,21,2,"pde","single-version-ck-oo.csv"
12,28,1,9,0,"pde","single-version-ck-oo.csv"
29,49,7,7,1,"pde","single-version-ck-oo.csv"
18,38,2,12,0,"pde","single-version-ck-oo.csv"
23,51,5,9,0,"pde","single-version-ck-oo.csv"
67,197,9,20,4,"pde","single-version-ck-oo.csv"
53,146,6,25,1,"pde","single-version-ck-oo.csv"
1,3,0,1,0,"pde","single-version-ck-oo.csv"
18,52,5,4,0,"pde","single-version-ck-oo.csv"
77,135,13,49,0,"pde","single-version-ck-oo.csv"
14,32,3,7,1,"pde","single-version-ck-oo.csv"
8,17,2,4,0,"pde","single-version-ck-oo.csv"
14,25,0,9,2,"pde","single-version-ck-oo.csv"
8,18,3,6,0,"pde","single-version-ck-oo.csv"
30,68,5,18,1,"pde","single-version-ck-oo.csv"
45,115,4,42,3,"pde","single-version-ck-oo.csv"
8,45,3,4,1,"pde","single-version-ck-oo.csv"
42,71,6,13,5,"pde","single-version-ck-oo.csv"
11,27,3,9,0,"pde","single-version-ck-oo.csv"
42,78,13,17,1,"pde","single-version-ck-oo.csv"
43,69,5,15,0,"pde","single-version-ck-oo.csv"
29,77,3,11,0,"pde","single-version-ck-oo.csv"
180,369,14,107,2,"pde","single-version-ck-oo.csv"
41,120,7,18,5,"pde","single-version-ck-oo.csv"
363,525,44,181,11,"pde","single-version-ck-oo.csv"
37,65,11,23,0,"pde","single-version-ck-oo.csv"
27,45,5,16,0,"pde","single-version-ck-oo.csv"
35,60,11,12,2,"pde","single-version-ck-oo.csv"
6,8,1,3,0,"pde","single-version-ck-oo.csv"
67,120,10,18,7,"pde","single-version-ck-oo.csv"
27,59,2,23,3,"pde","single-version-ck-oo.csv"
18,37,5,9,1,"pde","single-version-ck-oo.csv"
89,164,10,43,0,"pde","single-version-ck-oo.csv"
187,436,19,83,4,"pde","single-version-ck-oo.csv"
48,76,9,24,1,"pde","single-version-ck-oo.csv"
35,81,4,23,0,"pde","single-version-ck-oo.csv"
49,92,10,31,9,"pde","single-version-ck-oo.csv"
200,469,15,80,34,"pde","single-version-ck-oo.csv"
39,67,12,13,2,"pde","single-version-ck-oo.csv"
4,7,1,3,0,"pde","single-version-ck-oo.csv"
57,132,5,29,3,"pde","single-version-ck-oo.csv"
25,63,4,9,6,"pde","single-version-ck-oo.csv"
13,24,5,4,0,"pde","single-version-ck-oo.csv"
7,5,4,1,0,"pde","single-version-ck-oo.csv"
59,121,16,28,4,"pde","single-version-ck-oo.csv"
6,12,2,3,1,"pde","single-version-ck-oo.csv"
7,14,0,5,0,"pde","single-version-ck-oo.csv"
8,15,2,3,0,"pde","single-version-ck-oo.csv"
191,376,6,100,1,"pde","single-version-ck-oo.csv"
44,107,3,22,2,"pde","single-version-ck-oo.csv"
45,57,14,18,3,"pde","single-version-ck-oo.csv"
10,19,3,6,0,"pde","single-version-ck-oo.csv"
6,10,1,4,1,"pde","single-version-ck-oo.csv"
61,160,6,49,2,"pde","single-version-ck-oo.csv"
23,42,2,13,1,"pde","single-version-ck-oo.csv"
20,33,2,9,1,"pde","single-version-ck-oo.csv"
39,91,13,13,1,"pde","single-version-ck-oo.csv"
17,37,7,5,0,"pde","single-version-ck-oo.csv"
32,71,3,18,3,"pde","single-version-ck-oo.csv"
63,124,13,17,5,"pde","single-version-ck-oo.csv"
50,96,13,14,2,"pde","single-version-ck-oo.csv"
7,12,2,4,0,"pde","single-version-ck-oo.csv"
124,292,8,43,13,"pde","single-version-ck-oo.csv"
6,13,2,4,0,"pde","single-version-ck-oo.csv"
13,24,2,6,0,"pde","single-version-ck-oo.csv"
19,33,4,6,0,"pde","single-version-ck-oo.csv"
28,72,7,12,2,"pde","single-version-ck-oo.csv"
23,46,2,7,1,"pde","single-version-ck-oo.csv"
49,75,5,31,0,"pde","single-version-ck-oo.csv"
40,70,12,13,1,"pde","single-version-ck-oo.csv"
19,44,3,5,0,"pde","single-version-ck-oo.csv"
26,68,7,16,1,"pde","single-version-ck-oo.csv"
12,27,2,9,0,"pde","single-version-ck-oo.csv"
34,47,4,17,0,"pde","single-version-ck-oo.csv"
17,30,2,10,0,"pde","single-version-ck-oo.csv"
53,226,5,30,7,"pde","single-version-ck-oo.csv"
17,61,5,13,0,"pde","single-version-ck-oo.csv"
145,222,9,63,1,"pde","single-version-ck-oo.csv"
68,147,17,30,1,"pde","single-version-ck-oo.csv"
15,45,1,13,0,"pde","single-version-ck-oo.csv"
12,20,4,4,0,"pde","single-version-ck-oo.csv"
15,28,4,4,1,"pde","single-version-ck-oo.csv"
25,73,7,22,1,"pde","single-version-ck-oo.csv"
17,58,0,7,5,"pde","single-version-ck-oo.csv"
3,9,0,3,0,"pde","single-version-ck-oo.csv"
12,28,0,8,0,"pde","single-version-ck-oo.csv"
25,29,7,7,4,"pde","single-version-ck-oo.csv"
27,59,9,10,1,"pde","single-version-ck-oo.csv"
25,97,1,20,0,"pde","single-version-ck-oo.csv"
26,54,4,16,0,"pde","single-version-ck-oo.csv"
92,207,27,42,9,"pde","single-version-ck-oo.csv"
187,461,8,98,15,"pde","single-version-ck-oo.csv"
6,11,1,2,0,"pde","single-version-ck-oo.csv"
44,89,9,24,1,"pde","single-version-ck-oo.csv"
2,6,0,2,0,"pde","single-version-ck-oo.csv"
43,62,9,20,0,"pde","single-version-ck-oo.csv"
69,156,10,29,9,"pde","single-version-ck-oo.csv"
42,58,6,23,2,"pde","single-version-ck-oo.csv"
170,372,44,129,10,"pde","single-version-ck-oo.csv"
3,8,1,1,0,"pde","single-version-ck-oo.csv"
11,19,2,5,0,"pde","single-version-ck-oo.csv"
156,230,22,71,1,"pde","single-version-ck-oo.csv"
56,105,13,44,2,"pde","single-version-ck-oo.csv"
145,210,15,64,10,"pde","single-version-ck-oo.csv"
13,20,3,4,0,"pde","single-version-ck-oo.csv"
20,44,2,14,0,"pde","single-version-ck-oo.csv"
19,41,1,17,0,"pde","single-version-ck-oo.csv"
118,278,15,63,4,"pde","single-version-ck-oo.csv"
24,88,3,11,0,"pde","single-version-ck-oo.csv"
28,84,0,28,0,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
88,210,17,41,6,"pde","single-version-ck-oo.csv"
9,17,1,5,0,"pde","single-version-ck-oo.csv"
60,98,11,26,0,"pde","single-version-ck-oo.csv"
17,31,4,9,0,"pde","single-version-ck-oo.csv"
21,43,5,11,1,"pde","single-version-ck-oo.csv"
10,22,4,8,0,"pde","single-version-ck-oo.csv"
28,45,3,13,2,"pde","single-version-ck-oo.csv"
27,82,2,12,2,"pde","single-version-ck-oo.csv"
11,24,0,11,0,"pde","single-version-ck-oo.csv"
85,255,5,44,9,"pde","single-version-ck-oo.csv"
46,100,13,20,2,"pde","single-version-ck-oo.csv"
122,187,18,61,4,"pde","single-version-ck-oo.csv"
0,0,0,0,0,"pde","single-version-ck-oo.csv"
12,27,2,10,0,"pde","single-version-ck-oo.csv"
24,48,3,14,2,"pde","single-version-ck-oo.csv"
82,156,10,37,1,"pde","single-version-ck-oo.csv"
15,30,4,14,0,"pde","single-version-ck-oo.csv"
19,41,5,5,0,"pde","single-version-ck-oo.csv"
41,83,6,17,0,"pde","single-version-ck-oo.csv"
10,17,3,6,0,"pde","single-version-ck-oo.csv"
32,99,2,26,0,"pde","single-version-ck-oo.csv"
4,12,0,4,0,"pde","single-version-ck-oo.csv"
2,3,0,1,0,"pde","single-version-ck-oo.csv"
110,199,18,52,6,"pde","single-version-ck-oo.csv"
207,501,26,113,16,"pde","single-version-ck-oo.csv"
39,115,3,22,3,"pde","single-version-ck-oo.csv"
13,33,4,8,0,"pde","single-version-ck-oo.csv"
21,50,8,17,0,"pde","single-version-ck-oo.csv"
17,33,4,6,1,"pde","single-version-ck-oo.csv"
43,123,8,14,2,"pde","single-version-ck-oo.csv"
69,118,30,47,4,"pde","single-version-ck-oo.csv"
15,27,4,5,0,"pde","single-version-ck-oo.csv"
6,12,1,4,0,"pde","single-version-ck-oo.csv"
45,78,8,22,0,"pde","single-version-ck-oo.csv"
10,21,1,9,0,"pde","single-version-ck-oo.csv"
32,64,5,19,1,"pde","single-version-ck-oo.csv"
22,58,4,16,1,"pde","single-version-ck-oo.csv"
5,13,0,4,0,"pde","single-version-ck-oo.csv"
23,69,5,16,0,"pde","single-version-ck-oo.csv"
36,79,9,21,0,"pde","single-version-ck-oo.csv"
16,45,4,3,0,"pde","single-version-ck-oo.csv"
7,25,1,7,0,"pde","single-version-ck-oo.csv"
32,58,4,13,1,"pde","single-version-ck-oo.csv"
3,9,1,3,0,"pde","single-version-ck-oo.csv"
10,15,2,6,0,"pde","single-version-ck-oo.csv"
10,44,0,7,0,"pde","single-version-ck-oo.csv"
74,103,16,22,0,"pde","single-version-ck-oo.csv"
6,16,1,2,0,"pde","single-version-ck-oo.csv"
30,60,7,11,0,"pde","single-version-ck-oo.csv"
8,22,2,5,0,"pde","single-version-ck-oo.csv"
30,59,3,18,0,"pde","single-version-ck-oo.csv"
19,34,3,7,1,"pde","single-version-ck-oo.csv"
289,564,40,148,21,"pde","single-version-ck-oo.csv"
17,34,2,8,2,"pde","single-version-ck-oo.csv"
44,136,4,14,0,"pde","single-version-ck-oo.csv"
35,114,5,30,2,"pde","single-version-ck-oo.csv"
81,177,17,32,2,"pde","single-version-ck-oo.csv"
21,80,0,29,0,"pde","single-version-ck-oo.csv"
57,91,7,24,0,"pde","single-version-ck-oo.csv"
118,208,20,47,5,"pde","single-version-ck-oo.csv"
8,41,1,5,0,"pde","single-version-ck-oo.csv"
89,191,14,24,7,"pde","single-version-ck-oo.csv"
26,53,8,11,0,"pde","single-version-ck-oo.csv"
341,828,34,178,28,"pde","single-version-ck-oo.csv"
10,19,2,7,0,"pde","single-version-ck-oo.csv"
45,85,8,57,0,"pde","single-version-ck-oo.csv"
68,173,12,26,2,"pde","single-version-ck-oo.csv"
9,19,3,7,0,"pde","single-version-ck-oo.csv"
20,36,3,12,0,"pde","single-version-ck-oo.csv"
5,12,1,2,0,"pde","single-version-ck-oo.csv"
6,12,2,3,0,"pde","single-version-ck-oo.csv"
62,97,2,31,0,"pde","single-version-ck-oo.csv"
42,123,8,12,0,"pde","single-version-ck-oo.csv"
214,441,30,131,15,"pde","single-version-ck-oo.csv"
101,180,12,57,0,"pde","single-version-ck-oo.csv"
53,390,9,16,6,"pde","single-version-ck-oo.csv"
10,15,2,3,0,"pde","single-version-ck-oo.csv"
30,62,7,14,1,"pde","single-version-ck-oo.csv"
17,29,2,9,0,"pde","single-version-ck-oo.csv"
11,21,1,7,0,"pde","single-version-ck-oo.csv"
6,10,1,4,1,"pde","single-version-ck-oo.csv"
44,79,7,11,0,"pde","single-version-ck-oo.csv"
136,260,15,66,9,"pde","single-version-ck-oo.csv"
23,36,11,12,0,"pde","single-version-ck-oo.csv"
0,0,0,0,0,"pde","single-version-ck-oo.csv"
17,27,8,5,1,"pde","single-version-ck-oo.csv"
19,39,5,10,0,"pde","single-version-ck-oo.csv"
10,45,1,11,0,"pde","single-version-ck-oo.csv"
82,186,16,49,5,"pde","single-version-ck-oo.csv"
11,26,2,9,0,"pde","single-version-ck-oo.csv"
4,9,0,3,0,"pde","single-version-ck-oo.csv"
20,59,0,17,0,"pde","single-version-ck-oo.csv"
199,343,17,108,12,"pde","single-version-ck-oo.csv"
6,10,1,3,0,"pde","single-version-ck-oo.csv"
84,176,12,45,7,"pde","single-version-ck-oo.csv"
245,440,13,102,13,"pde","single-version-ck-oo.csv"
11,16,7,4,0,"pde","single-version-ck-oo.csv"
18,67,6,14,0,"pde","single-version-ck-oo.csv"
39,123,9,32,4,"pde","single-version-ck-oo.csv"
5,9,1,3,0,"pde","single-version-ck-oo.csv"
22,68,2,14,0,"pde","single-version-ck-oo.csv"
9,16,2,5,0,"pde","single-version-ck-oo.csv"
187,387,16,107,7,"pde","single-version-ck-oo.csv"
59,82,5,20,5,"pde","single-version-ck-oo.csv"
19,25,0,8,1,"pde","single-version-ck-oo.csv"
7,19,2,6,0,"pde","single-version-ck-oo.csv"
5,9,2,3,0,"pde","single-version-ck-oo.csv"
70,147,8,40,0,"pde","single-version-ck-oo.csv"
65,104,5,35,1,"pde","single-version-ck-oo.csv"
44,137,8,33,5,"pde","single-version-ck-oo.csv"
2,3,0,4,0,"pde","single-version-ck-oo.csv"
36,95,1,20,1,"pde","single-version-ck-oo.csv"
35,71,3,17,1,"pde","single-version-ck-oo.csv"
5,18,0,5,0,"pde","single-version-ck-oo.csv"
10,15,1,5,0,"pde","single-version-ck-oo.csv"
15,57,1,17,0,"pde","single-version-ck-oo.csv"
4,8,2,2,0,"pde","single-version-ck-oo.csv"
36,69,4,23,2,"pde","single-version-ck-oo.csv"
64,148,11,28,6,"pde","single-version-ck-oo.csv"
2,7,0,2,0,"pde","single-version-ck-oo.csv"
12,35,2,11,0,"pde","single-version-ck-oo.csv"
58,102,14,16,6,"pde","single-version-ck-oo.csv"
22,43,4,13,0,"pde","single-version-ck-oo.csv"
27,81,7,11,0,"pde","single-version-ck-oo.csv"
55,101,15,28,0,"pde","single-version-ck-oo.csv"
56,156,4,37,0,"pde","single-version-ck-oo.csv"
95,216,6,72,5,"pde","single-version-ck-oo.csv"
29,43,3,12,0,"pde","single-version-ck-oo.csv"
74,108,9,27,2,"pde","single-version-ck-oo.csv"
10,23,1,6,0,"pde","single-version-ck-oo.csv"
99,146,20,53,4,"pde","single-version-ck-oo.csv"
7,27,0,6,1,"pde","single-version-ck-oo.csv"
13,36,3,13,0,"pde","single-version-ck-oo.csv"
15,29,3,9,0,"pde","single-version-ck-oo.csv"
104,183,14,45,9,"pde","single-version-ck-oo.csv"
172,347,16,93,21,"pde","single-version-ck-oo.csv"
9,24,0,3,0,"pde","single-version-ck-oo.csv"
31,51,3,19,2,"pde","single-version-ck-oo.csv"
61,111,18,35,4,"pde","single-version-ck-oo.csv"
14,26,4,9,0,"pde","single-version-ck-oo.csv"
18,42,1,8,0,"pde","single-version-ck-oo.csv"
123,304,29,50,14,"pde","single-version-ck-oo.csv"
96,240,4,49,13,"pde","single-version-ck-oo.csv"
7,26,0,8,0,"pde","single-version-ck-oo.csv"
94,162,14,45,2,"pde","single-version-ck-oo.csv"
10,31,2,7,0,"pde","single-version-ck-oo.csv"
11,23,1,7,0,"pde","single-version-ck-oo.csv"
118,251,22,62,8,"pde","single-version-ck-oo.csv"
154,265,22,57,6,"pde","single-version-ck-oo.csv"
95,283,3,36,13,"pde","single-version-ck-oo.csv"
9,22,2,4,0,"pde","single-version-ck-oo.csv"
4,10,1,3,0,"pde","single-version-ck-oo.csv"
49,179,6,39,0,"pde","single-version-ck-oo.csv"
25,31,11,6,1,"pde","single-version-ck-oo.csv"
42,93,12,15,2,"pde","single-version-ck-oo.csv"
44,60,8,15,0,"pde","single-version-ck-oo.csv"
80,125,18,48,8,"pde","single-version-ck-oo.csv"
99,188,20,66,10,"pde","single-version-ck-oo.csv"
14,23,3,7,0,"pde","single-version-ck-oo.csv"
13,26,4,9,0,"pde","single-version-ck-oo.csv"
4,8,1,2,0,"pde","single-version-ck-oo.csv"
11,21,3,5,0,"pde","single-version-ck-oo.csv"
11,31,2,10,0,"pde","single-version-ck-oo.csv"
43,92,8,24,0,"pde","single-version-ck-oo.csv"
30,60,11,8,0,"pde","single-version-ck-oo.csv"
22,33,4,11,0,"pde","single-version-ck-oo.csv"
60,99,12,25,0,"pde","single-version-ck-oo.csv"
6,13,2,3,0,"pde","single-version-ck-oo.csv"
71,96,4,48,1,"pde","single-version-ck-oo.csv"
76,162,10,63,0,"pde","single-version-ck-oo.csv"
23,79,0,29,0,"pde","single-version-ck-oo.csv"
19,36,2,12,1,"pde","single-version-ck-oo.csv"
115,194,23,41,10,"pde","single-version-ck-oo.csv"
84,183,8,49,1,"pde","single-version-ck-oo.csv"
20,51,2,15,3,"pde","single-version-ck-oo.csv"
16,24,2,7,2,"pde","single-version-ck-oo.csv"
43,77,16,22,0,"pde","single-version-ck-oo.csv"
284,739,30,139,29,"pde","single-version-ck-oo.csv"
41,78,6,23,2,"pde","single-version-ck-oo.csv"
17,33,6,7,0,"pde","single-version-ck-oo.csv"
9,16,2,3,0,"pde","single-version-ck-oo.csv"
36,69,7,19,0,"pde","single-version-ck-oo.csv"
14,30,2,8,0,"pde","single-version-ck-oo.csv"
30,50,7,10,0,"pde","single-version-ck-oo.csv"
8,14,2,3,0,"pde","single-version-ck-oo.csv"
195,457,10,109,7,"pde","single-version-ck-oo.csv"
5,7,2,2,0,"pde","single-version-ck-oo.csv"
181,277,24,85,8,"pde","single-version-ck-oo.csv"
137,188,16,43,5,"pde","single-version-ck-oo.csv"
34,71,2,25,0,"pde","single-version-ck-oo.csv"
4,7,2,2,0,"pde","single-version-ck-oo.csv"
45,90,8,25,4,"pde","single-version-ck-oo.csv"
13,27,2,5,1,"pde","single-version-ck-oo.csv"
34,89,8,31,0,"pde","single-version-ck-oo.csv"
39,78,2,26,1,"pde","single-version-ck-oo.csv"
17,26,4,6,1,"pde","single-version-ck-oo.csv"
37,76,7,23,0,"pde","single-version-ck-oo.csv"
52,139,7,28,4,"pde","single-version-ck-oo.csv"
82,272,14,38,4,"pde","single-version-ck-oo.csv"
6,10,2,3,0,"pde","single-version-ck-oo.csv"
15,38,2,5,0,"pde","single-version-ck-oo.csv"
6,17,1,3,0,"pde","single-version-ck-oo.csv"
16,46,3,11,1,"pde","single-version-ck-oo.csv"
126,199,10,53,1,"pde","single-version-ck-oo.csv"
104,217,14,49,7,"pde","single-version-ck-oo.csv"
98,176,16,35,7,"pde","single-version-ck-oo.csv"
123,239,16,54,7,"pde","single-version-ck-oo.csv"
19,53,3,12,0,"pde","single-version-ck-oo.csv"
12,22,3,7,0,"pde","single-version-ck-oo.csv"
128,236,22,37,4,"pde","single-version-ck-oo.csv"
209,329,25,93,4,"pde","single-version-ck-oo.csv"
11,38,2,8,1,"pde","single-version-ck-oo.csv"
80,151,8,38,0,"pde","single-version-ck-oo.csv"
18,19,3,7,0,"pde","single-version-ck-oo.csv"
25,54,3,11,0,"pde","single-version-ck-oo.csv"
10,24,2,9,0,"pde","single-version-ck-oo.csv"
33,53,2,14,1,"pde","single-version-ck-oo.csv"
42,103,3,32,2,"pde","single-version-ck-oo.csv"
7,16,1,4,0,"pde","single-version-ck-oo.csv"
5,10,2,3,0,"pde","single-version-ck-oo.csv"
36,140,4,14,3,"pde","single-version-ck-oo.csv"
24,31,3,9,0,"pde","single-version-ck-oo.csv"
9,21,1,7,0,"pde","single-version-ck-oo.csv"
10,21,2,7,0,"pde","single-version-ck-oo.csv"
13,22,4,4,1,"pde","single-version-ck-oo.csv"
126,385,21,49,7,"pde","single-version-ck-oo.csv"
28,85,0,15,2,"pde","single-version-ck-oo.csv"
41,82,7,23,0,"pde","single-version-ck-oo.csv"
6,6,1,1,0,"pde","single-version-ck-oo.csv"
7,20,0,7,0,"pde","single-version-ck-oo.csv"
12,19,3,6,0,"pde","single-version-ck-oo.csv"
7,17,1,4,0,"pde","single-version-ck-oo.csv"
31,59,7,15,1,"pde","single-version-ck-oo.csv"
47,78,6,28,0,"pde","single-version-ck-oo.csv"
7,10,1,3,1,"pde","single-version-ck-oo.csv"
220,343,26,88,11,"pde","single-version-ck-oo.csv"
10,19,2,6,0,"pde","single-version-ck-oo.csv"
325,788,31,177,20,"pde","single-version-ck-oo.csv"
30,50,7,11,0,"pde","single-version-ck-oo.csv"
90,170,9,36,1,"pde","single-version-ck-oo.csv"
51,104,9,32,0,"pde","single-version-ck-oo.csv"
18,40,2,13,0,"pde","single-version-ck-oo.csv"
195,350,31,86,15,"pde","single-version-ck-oo.csv"
10,29,0,10,0,"pde","single-version-ck-oo.csv"
31,71,4,21,0,"pde","single-version-ck-oo.csv"
17,31,3,8,0,"pde","single-version-ck-oo.csv"
19,33,5,6,0,"pde","single-version-ck-oo.csv"
147,376,12,87,7,"pde","single-version-ck-oo.csv"
24,46,3,11,0,"pde","single-version-ck-oo.csv"
11,21,2,7,0,"pde","single-version-ck-oo.csv"
27,56,2,10,1,"pde","single-version-ck-oo.csv"
4,10,1,3,0,"pde","single-version-ck-oo.csv"
10,16,3,4,0,"pde","single-version-ck-oo.csv"
18,38,4,11,0,"pde","single-version-ck-oo.csv"
28,53,3,7,1,"pde","single-version-ck-oo.csv"
82,156,9,29,4,"pde","single-version-ck-oo.csv"
2,6,0,2,0,"pde","single-version-ck-oo.csv"
28,74,2,15,0,"pde","single-version-ck-oo.csv"
117,313,12,70,2,"pde","single-version-ck-oo.csv"
3,3,0,1,0,"pde","single-version-ck-oo.csv"
61,95,15,27,5,"pde","single-version-ck-oo.csv"
11,21,2,5,1,"pde","single-version-ck-oo.csv"
35,81,11,13,1,"pde","single-version-ck-oo.csv"
12,22,4,9,0,"pde","single-version-ck-oo.csv"
47,63,8,21,1,"pde","single-version-ck-oo.csv"
39,98,6,22,1,"pde","single-version-ck-oo.csv"
9,17,1,8,0,"pde","single-version-ck-oo.csv"
11,44,0,6,1,"pde","single-version-ck-oo.csv"
14,28,2,9,0,"pde","single-version-ck-oo.csv"
6,12,1,4,0,"pde","single-version-ck-oo.csv"
12,27,2,9,0,"pde","single-version-ck-oo.csv"
7,20,2,4,0,"pde","single-version-ck-oo.csv"
38,80,8,9,0,"pde","single-version-ck-oo.csv"
134,405,19,93,11,"pde","single-version-ck-oo.csv"
27,52,2,12,0,"pde","single-version-ck-oo.csv"
30,117,1,18,2,"pde","single-version-ck-oo.csv"
19,49,2,10,1,"pde","single-version-ck-oo.csv"
18,37,3,13,0,"pde","single-version-ck-oo.csv"
70,97,8,33,1,"pde","single-version-ck-oo.csv"
13,30,0,8,0,"pde","single-version-ck-oo.csv"
101,230,18,56,10,"pde","single-version-ck-oo.csv"
42,60,4,15,0,"pde","single-version-ck-oo.csv"
19,82,2,19,2,"pde","single-version-ck-oo.csv"
15,39,4,6,0,"pde","single-version-ck-oo.csv"
4,8,1,2,0,"pde","single-version-ck-oo.csv"
112,180,14,39,0,"pde","single-version-ck-oo.csv"
10,21,2,7,0,"pde","single-version-ck-oo.csv"
5,9,1,3,0,"pde","single-version-ck-oo.csv"
123,208,9,56,0,"pde","single-version-ck-oo.csv"
18,28,4,8,1,"pde","single-version-ck-oo.csv"
32,80,0,13,8,"pde","single-version-ck-oo.csv"
22,38,2,12,0,"pde","single-version-ck-oo.csv"
69,132,13,38,7,"pde","single-version-ck-oo.csv"
18,39,7,4,1,"pde","single-version-ck-oo.csv"
24,38,4,11,0,"pde","single-version-ck-oo.csv"
20,79,4,6,1,"pde","single-version-ck-oo.csv"
181,396,19,127,2,"pde","single-version-ck-oo.csv"
11,17,0,5,0,"pde","single-version-ck-oo.csv"
107,226,18,33,8,"pde","single-version-ck-oo.csv"
45,77,7,25,0,"pde","single-version-ck-oo.csv"
47,91,14,20,2,"pde","single-version-ck-oo.csv"
273,595,32,122,19,"pde","single-version-ck-oo.csv"
12,33,2,7,0,"pde","single-version-ck-oo.csv"
5,14,2,1,0,"pde","single-version-ck-oo.csv"
47,114,13,17,1,"pde","single-version-ck-oo.csv"
19,39,2,8,1,"pde","single-version-ck-oo.csv"
96,236,15,58,10,"pde","single-version-ck-oo.csv"
15,23,6,3,0,"pde","single-version-ck-oo.csv"
18,45,5,4,0,"pde","single-version-ck-oo.csv"
29,37,4,13,0,"pde","single-version-ck-oo.csv"
17,38,2,13,0,"pde","single-version-ck-oo.csv"
73,162,12,35,12,"pde","single-version-ck-oo.csv"
12,35,3,12,0,"pde","single-version-ck-oo.csv"
50,106,4,34,1,"pde","single-version-ck-oo.csv"
60,138,5,28,6,"pde","single-version-ck-oo.csv"
9,23,2,10,0,"pde","single-version-ck-oo.csv"
34,47,7,16,0,"pde","single-version-ck-oo.csv"
7,11,2,3,0,"pde","single-version-ck-oo.csv"
4,15,1,2,0,"pde","single-version-ck-oo.csv"
11,24,0,12,0,"pde","single-version-ck-oo.csv"
87,270,11,37,8,"pde","single-version-ck-oo.csv"
6,19,2,2,0,"pde","single-version-ck-oo.csv"
98,236,12,42,6,"pde","single-version-ck-oo.csv"
58,145,6,36,5,"pde","single-version-ck-oo.csv"
10,31,1,6,0,"pde","single-version-ck-oo.csv"
96,195,21,42,8,"pde","single-version-ck-oo.csv"
33,107,7,17,0,"pde","single-version-ck-oo.csv"
13,20,4,6,0,"pde","single-version-ck-oo.csv"
11,24,4,3,1,"pde","single-version-ck-oo.csv"
39,70,12,29,0,"pde","single-version-ck-oo.csv"
